fiscal_year	fiscal_quarter_YTD	contract_transaction_unique_key	contract_award_unique_key	signeddate	contractingofficeagencyid	ProductOrServiceCode	PlatformPortfolio	ProjectID	VehicleClassification	CompetitionClassification	ClassifyNumberOfOffers	anycommercial	PricingUCA	VendorSize	fundedbyforeignentity	PlaceISOalpha3	pop_state_code	VendorISOalpha3	VendorStateCode	OriginISOalpha3	placeofmanufacture	AnyCommercial	typeofcontractpricing	IsLetterContract	ProductOrServiceCode	claimantprogramcode	principalnaicscode	ProjectID	EntityID	parentid	IsEntityTraditional	obligatedAmount	baseandexercisedoptionsvalue	baseandalloptionsvalue	numberOfActions
1993	NULL	NULL	NULL	NULL	5700	AR34	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Medium >1B (Small Subsidiary)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR34	A2 	NULL	NULL	666329	ORBITAL SCIENCES	NULL	3916262.0000	NULL	NULL	NULL
1991	NULL	NULL	NULL	NULL	1700	AR13	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Small	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	U	NULL	AR13	S1 	NULL	NULL	99743	NULL	NULL	76000.0000	NULL	NULL	NULL
1991	NULL	NULL	NULL	NULL	1700	AR13	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Small	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	U	NULL	AR13	S1 	NULL	NULL	99743	NULL	NULL	125000.0000	NULL	NULL	NULL
1990	NULL	NULL	NULL	NULL	1700	AR13	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Medium <1B	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	U	NULL	AR13	S1 	NULL	NULL	627235	NULL	NULL	150000.0000	NULL	NULL	NULL
1993	NULL	NULL	NULL	NULL	5700	AR34	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Medium >1B (Small Subsidiary)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR34	A2 	NULL	NULL	666329	ORBITAL SCIENCES	NULL	241522.0000	NULL	NULL	NULL
1998	NULL	NULL	NULL	NULL	5700	AR12	Space Systems	NULL	NULL	Limited Competition with multiple offers	3-4 Offers	NULL	NULL	Medium <1B	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	S	NULL	AR12	A2 	NULL	NULL	493715	NULL	NULL	75000.0000	NULL	NULL	1
1991	NULL	NULL	NULL	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	L	NULL	1840	A2 	NULL	1539	683750	BOEING	NULL	1000000.0000	NULL	NULL	NULL
1996	NULL	NULL	NULL	NULL	5700	AR34	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR34	A2 	NULL	NULL	649382	GENERAL MOTORS	NULL	6241762.0000	NULL	NULL	1
1993	NULL	NULL	NULL	NULL	5700	AR11	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR11	A2 	NULL	NULL	649342	GENERAL DYNAMICS	NULL	190599.0000	NULL	NULL	NULL
2024	2	8000_8000_80GRC021F0013_P00025_NNC14CA02C_0	CONT_AWD_80GRC021F0013_8000_NNC14CA02C_8000	2024-01-31	8000	AR11	Space Systems	NULL	SINGLE AWARD IDC	Limited Competition with multiple offers	Two Offers	N	Other CB	Small	X	USA	OH	USA	OH	USA	C	N	U	0	AR11	NULL	541712	NULL	677480	ZIN TECHNOLOGIES	0	-1660.0000	-130249.0000	-130249.0000	1
2018	NULL	8000_8000_80AFRC18F0087_0_NND16AP03B_0	CONT_AWD_80AFRC18F0087_8000_NND16AP03B_8000	2018-04-09	8000	V126	Space Systems	NULL	MULTIPLE AWARD IDC	Competition with single offer	One Offer	Y	FFP	Medium <1B	X	USA	TX	USA	TX	USA	C	Y	J	0	V126		481212	NULL	1606070	BLUE ORIGIN	0	76661.0000	76661.0000	76661.0000	1
1991	NULL	NULL	NULL	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	L	NULL	1840	A2 	NULL	1539	683750	BOEING	NULL	1517000.0000	NULL	NULL	NULL
1991	NULL	NULL	NULL	NULL	1700	AR13	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Small	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	U	NULL	AR13	S1 	NULL	NULL	99743	NULL	NULL	57000.0000	NULL	NULL	NULL
2024	1	8000_8000_80GRC021F0076_P00017_NNC14CA02C_0	CONT_AWD_80GRC021F0076_8000_NNC14CA02C_8000	2023-11-06	8000	AR11	Space Systems	NULL	SINGLE AWARD IDC	Limited Competition with multiple offers	Two Offers	N	Other CB	Small	X	USA	OH	USA	OH	USA	C	N	U	0	AR11	NULL	541712	NULL	677480	ZIN TECHNOLOGIES	0	0.0000	0.0000	0.0000	1
1995	NULL	NULL	NULL	NULL	5700	AR13	Ordnance and Missiles	1746	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR13	A2 	NULL	1746	659846	LOCKHEED MARTIN	NULL	-700000.0000	NULL	NULL	1
1993	NULL	NULL	NULL	NULL	5700	AR13	Ordnance and Missiles	1746	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR13	A2 	NULL	1746	659841	LOCKHEED	NULL	96770.0000	NULL	NULL	NULL
2024	1	8000_8000_80GRC021F0171_P00013_NNC14CA02C_0	CONT_AWD_80GRC021F0171_8000_NNC14CA02C_8000	2023-10-31	8000	AR11	Space Systems	NULL	SINGLE AWARD IDC	Limited Competition with multiple offers	Two Offers	N	Other CB	Small	X	USA	OH	USA	OH	USA	C	N	U	0	AR11	NULL	541712	NULL	677480	ZIN TECHNOLOGIES	0	300000.0000	0.0000	0.0000	1
2022	2	8000_8000_80GRC021F0171_P00003_NNC14CA02C_0	CONT_AWD_80GRC021F0171_8000_NNC14CA02C_8000	2022-02-28	8000	AR11	Space Systems	NULL	SINGLE AWARD IDC	Limited Competition with multiple offers	Two Offers	N	Other CB	Small	X	USA	OH	USA	OH	USA	C	N	U	0	AR11		541712	NULL	677480	ZIN TECHNOLOGIES	1	340000.0000	340000.0000	340000.0000	1
1996	NULL	NULL	NULL	NULL	5700	AR34	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR34	A2 	NULL	NULL	649382	GENERAL MOTORS	NULL	2106421.0000	NULL	NULL	1
2018	NULL	8000_8000_NND16AP05T_3_NND16AP03B_0	CONT_AWD_NND16AP05T_8000_NND16AP03B_8000	2018-03-08	8000	V126	Space Systems	NULL	MULTIPLE AWARD IDC	No Competition (Other Exception)	No competition	Y	FFP	Medium <1B	X	USA	TX	USA	TX	USA	C	Y	J	0	V126		481212	NULL	1606070	BLUE ORIGIN	0	64930.4414	64930.4414	64930.4414	1
1996	NULL	NULL	NULL	NULL	5700	AR34	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR34	A2 	NULL	NULL	649382	GENERAL MOTORS	NULL	400000.0000	NULL	NULL	1
1991	NULL	NULL	NULL	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	L	NULL	1840	A2 	NULL	1539	683750	BOEING	NULL	743000.0000	NULL	NULL	NULL
1996	NULL	NULL	NULL	NULL	5700	AR34	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Medium >1B (Small Subsidiary)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR34	A2 	NULL	NULL	666329	ORBITAL SCIENCES	NULL	2760000.0000	NULL	NULL	1
2019	NULL	8000_8000_80GRC018F0022_P00009_NNC14CA02C_0	CONT_AWD_80GRC018F0022_8000_NNC14CA02C_8000	2019-09-16	8000	AR11	Space Systems	NULL	SINGLE AWARD IDC	Limited Competition with multiple offers	Two Offers	N	Other CB	Small	X	USA	OH	USA	OH	USA	C	N	U	0	AR11		541712	NULL	677480	ZIN TECHNOLOGIES	1	25000.0000	0.0000	0.0000	1
1991	NULL	NULL	NULL	NULL	5700	AR11	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR11	A2 	NULL	NULL	683750	BOEING	NULL	4121000.0000	NULL	NULL	NULL
1996	NULL	NULL	NULL	NULL	5700	AR34	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR34	A2 	NULL	NULL	649382	GENERAL MOTORS	NULL	1000000.0000	NULL	NULL	1
1991	NULL	NULL	NULL	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	L	NULL	1840	A2 	NULL	1539	683750	BOEING	NULL	4578000.0000	NULL	NULL	NULL
1995	NULL	NULL	NULL	NULL	5700	AR34	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Medium >1B (Small Subsidiary)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR34	A2 	NULL	NULL	666329	ORBITAL SCIENCES	NULL	108044.0000	NULL	NULL	1
1993	NULL	NULL	NULL	NULL	5700	AR34	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Medium >1B (Small Subsidiary)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR34	A2 	NULL	NULL	666329	ORBITAL SCIENCES	NULL	52000.0000	NULL	NULL	NULL
2010	NULL	8000_-none-_NNC10BA21B_3_-none-_-none-	CONT_IDV_NNC10BA21B_8000	2010-09-30	8000	AR11	Space Systems	NULL	SINGLE AWARD IDC	No Competition (Other Exception)	No competition	N	Other CB	Small	NULL	NULL	NULL	USA	OH	NULL	NULL	N	U	0	AR11	NULL	541712	NULL	672536	SUNPOWER	1	0.0000	0.0000	0.0000	NULL
2017	NULL	8000_-none-_NNC16CA30C_6_-none-_-none-	CONT_IDV_NNC16CA30C_8000	2017-08-10	8000	AR13	Space Systems	NULL	SINGLE AWARD IDC	Full Competition (Multiple Offers)	Two Offers	Y	FFP	Small	X	NULL	NULL	USA	CA	NULL	NULL	Y	J	0	AR13	NULL	541712	NULL	NULL	NULL	0	305500.0000	NULL	0.0000	NULL
2019	NULL	8000_8000_80GRC018F0022_P00006_NNC14CA02C_0	CONT_AWD_80GRC018F0022_8000_NNC14CA02C_8000	2019-03-25	8000	AR11	Space Systems	NULL	SINGLE AWARD IDC	Limited Competition with multiple offers	Two Offers	N	Other CB	Small	X	USA	OH	USA	OH	USA	C	N	U	0	AR11		541712	NULL	677480	ZIN TECHNOLOGIES	1	50000.0000	0.0000	0.0000	1
2022	2	8000_8000_80GRC018F0022_P00022_NNC14CA02C_0	CONT_AWD_80GRC018F0022_8000_NNC14CA02C_8000	2022-02-17	8000	AR11	Space Systems	NULL	SINGLE AWARD IDC	Limited Competition with multiple offers	Two Offers	N	Other CB	Small	X	USA	OH	USA	OH	USA	C	N	U	0	AR11		541712	NULL	677480	ZIN TECHNOLOGIES	1	0.0000	142415.0000	142415.0000	1
1993	NULL	NULL	NULL	NULL	5700	AR13	Ordnance and Missiles	1746	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR13	A2 	NULL	1746	659841	LOCKHEED	NULL	637000.0000	NULL	NULL	NULL
2015	NULL	8000_-none-_NNX14CJ44C_1_-none-_0	CONT_AWD_NNX14CJ44C_8000_-NONE-_-NONE-	2015-02-23	8000	AR11	Space Systems	NULL	DCA	Limited Competition with multiple offers	100+ Offers	N	FFP	Small		USA	CA	USA	CA	USA	C	N	J	0	AR11		541712	NULL	NULL	NULL	0	0.0000	0.0000	0.0000	1
1996	NULL	NULL	NULL	NULL	5700	AR34	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR34	A2 	NULL	NULL	649382	GENERAL MOTORS	NULL	300000.0000	NULL	NULL	1
2022	2	8000_8000_80GRC021F0076_P00003_NNC14CA02C_0	CONT_AWD_80GRC021F0076_8000_NNC14CA02C_8000	2022-02-08	8000	AR11	Space Systems	NULL	SINGLE AWARD IDC	Limited Competition with multiple offers	Two Offers	N	Other CB	Small	X	USA	OH	USA	OH	USA	C	N	U	0	AR11		541712	NULL	677480	ZIN TECHNOLOGIES	1	100000.0000	0.0000	0.0000	1
2017	NULL	8000_-none-_NNC16CA30C_3_-none-_-none-	CONT_IDV_NNC16CA30C_8000	2017-01-09	8000	AR13	Space Systems	NULL	SINGLE AWARD IDC	Full Competition (Multiple Offers)	Two Offers	Y	FFP	Small	X	NULL	NULL	USA	CA	NULL	NULL	Y	J	0	AR13	NULL	541712	NULL	NULL	NULL	0	791500.0000	NULL	791500.0000	NULL
1998	NULL	NULL	NULL	NULL	5700	AR12	Space Systems	NULL	NULL	Limited Competition with multiple offers	3-4 Offers	NULL	NULL	Medium <1B	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	S	NULL	AR12	A2 	NULL	NULL	493715	NULL	NULL	300000.0000	NULL	NULL	1
1996	NULL	NULL	NULL	NULL	5700	AR34	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Medium >1B (Small Subsidiary)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR34	A2 	NULL	NULL	666329	ORBITAL SCIENCES	NULL	250000.0000	NULL	NULL	1
1991	NULL	NULL	NULL	NULL	5700	AR12	Missile Defense	137	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Small	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR12	A2 	NULL	137	295660	NULL	NULL	50000.0000	NULL	NULL	NULL
2022	2	8000_8000_80GRC021F0013_P00011_NNC14CA02C_0	CONT_AWD_80GRC021F0013_8000_NNC14CA02C_8000	2022-01-24	8000	AR11	Space Systems	NULL	SINGLE AWARD IDC	Limited Competition with multiple offers	Two Offers	N	Other CB	Small	X	USA	OH	USA	OH	USA	C	N	U	0	AR11		541712	NULL	677480	ZIN TECHNOLOGIES	1	118000.0000	0.0000	0.0000	1
1993	NULL	NULL	NULL	NULL	5700	AR11	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR11	A2 	NULL	NULL	683750	BOEING	NULL	305000.0000	NULL	NULL	NULL
1999	NULL	NULL	NULL	NULL	5700	AR34	Space Systems	NULL	NULL	No Competition (Only One Source Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR34	A2 	NULL	NULL	659846	LOCKHEED MARTIN	NULL	350423.0000	NULL	NULL	1
1993	NULL	NULL	NULL	NULL	5700	AR13	Ordnance and Missiles	1746	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR13	A2 	NULL	1746	659841	LOCKHEED	NULL	82510.0000	NULL	NULL	NULL
2018	NULL	8000_8000_NND17AP01T_3_NND16AP03B_0	CONT_AWD_NND17AP01T_8000_NND16AP03B_8000	2018-09-06	8000	V126	Space Systems	NULL	MULTIPLE AWARD IDC	Competition with single offer	One Offer	Y	FFP	Medium <1B	X	USA	CA	USA	TX	USA	C	Y	J	0	V126		481212	NULL	1606070	BLUE ORIGIN	0	-23995.8496	-23995.8496	-23995.8496	1
1995	NULL	NULL	NULL	NULL	5700	AR13	Ordnance and Missiles	1746	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR13	A2 	NULL	1746	659846	LOCKHEED MARTIN	NULL	800000.0000	NULL	NULL	1
1993	NULL	NULL	NULL	NULL	5700	AR13	Ordnance and Missiles	1746	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Pre-Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	U	NULL	AR13	A2 	NULL	1746	661342	MARTIN MARIETTA	NULL	79285.0000	NULL	NULL	NULL
1991	NULL	NULL	NULL	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	L	NULL	1840	A2 	NULL	1539	683750	BOEING	NULL	1005000.0000	NULL	NULL	NULL
2022	1	8000_8000_80GRC021F0013_P00008_NNC14CA02C_0	CONT_AWD_80GRC021F0013_8000_NNC14CA02C_8000	2021-10-20	8000	AR11	Space Systems	NULL	SINGLE AWARD IDC	Limited Competition with multiple offers	Two Offers	N	Other CB	Small	X	USA	OH	USA	OH	USA	C	N	U	0	AR11		541712	NULL	677480	ZIN TECHNOLOGIES	1	190000.0000	0.0000	0.0000	1
1991	NULL	NULL	NULL	NULL	5700	1840	Space Systems	1539	NULL	No Competition (Unlabeled Exception)	No competition	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	L	NULL	1840	A2 	NULL	1539	683750	BOEING	NULL	1151000.0000	NULL	NULL	NULL
1998	NULL	NULL	NULL	NULL	5700	AR13	Space Systems	NULL	NULL	No Competition (Other Exception)	No competition	NULL	NULL	Small	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR13	A2 	NULL	NULL	228591	NULL	NULL	333407.0000	NULL	NULL	1
1996	NULL	NULL	NULL	NULL	5700	AR33	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR33	A2 	NULL	NULL	659846	LOCKHEED MARTIN	NULL	8550000.0000	NULL	NULL	1
2022	2	8000_8000_80GRC021F0156_P00003_NNC14CA02C_0	CONT_AWD_80GRC021F0156_8000_NNC14CA02C_8000	2022-01-31	8000	AR11	Space Systems	NULL	SINGLE AWARD IDC	Limited Competition with multiple offers	Two Offers	N	Other CB	Small	X	USA	OH	USA	OH	USA	C	N	U	0	AR11		541712	NULL	677480	ZIN TECHNOLOGIES	1	0.0000	0.0000	0.0000	1
1995	NULL	NULL	NULL	NULL	5700	AR34	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Medium >1B (Small Subsidiary)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR34	A2 	NULL	NULL	666329	ORBITAL SCIENCES	NULL	399063.0000	NULL	NULL	1
1993	NULL	NULL	NULL	NULL	5700	AR34	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Medium >1B (Small Subsidiary)	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR34	A2 	NULL	NULL	666329	ORBITAL SCIENCES	NULL	56433.0000	NULL	NULL	NULL
1995	NULL	NULL	NULL	NULL	5700	AR13	Ordnance and Missiles	1746	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR13	A2 	NULL	1746	659846	LOCKHEED MARTIN	NULL	62400.0000	NULL	NULL	1
1998	NULL	NULL	NULL	NULL	5700	AR12	Space Systems	NULL	NULL	Limited Competition with multiple offers	3-4 Offers	NULL	NULL	Medium <1B	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	S	NULL	AR12	A2 	NULL	NULL	493715	NULL	NULL	101966.0000	NULL	NULL	1
1996	NULL	NULL	NULL	NULL	5700	AR34	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Small	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR34	S1 	NULL	NULL	113554	NULL	NULL	57867.0000	NULL	NULL	1
1991	NULL	NULL	NULL	NULL	5700	AR11	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Pre-Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR11	A2 	NULL	NULL	661342	MARTIN MARIETTA	NULL	534000.0000	NULL	NULL	NULL
1995	NULL	NULL	NULL	NULL	5700	AR33	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	U	NULL	AR33	A2 	NULL	NULL	649342	GENERAL DYNAMICS	NULL	-206837.0000	NULL	NULL	1
1996	NULL	NULL	NULL	NULL	5700	AR13	Ordnance and Missiles	1746	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	R	NULL	AR13	A2 	NULL	1746	659846	LOCKHEED MARTIN	NULL	114216.0000	NULL	NULL	1
1996	NULL	NULL	NULL	NULL	5700	AR33	Space Systems	NULL	NULL	Limited Competition with multiple offers	Two Offers	NULL	NULL	Large: Big 5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	J	NULL	AR33	A2 	NULL	NULL	659846	LOCKHEED MARTIN	NULL	10498468.0000	NULL	NULL	1
