assistance_transaction_unique_key,assistance_award_unique_key,award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation.x,total_obligated_amount.x,total_outlayed_amount_for_overall_award,indirect_cost_federal_share_amount,non_federal_funding_amount,total_non_federal_funding_amount,face_value_of_loan,original_loan_subsidy_cost,total_face_value_of_loan,total_loan_subsidy_cost,disaster_emergency_fund_codes_for_overall_award,outlayed_amount_from_COVID.19_supplementals_for_overall_award,obligated_amount_from_COVID.19_supplementals_for_overall_award,outlayed_amount_from_IIJA_supplemental_for_overall_award,obligated_amount_from_IIJA_supplemental_for_overall_award,action_date,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,Funding_Agency_Name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,treasury_accounts_funding_this_award,federal_accounts_funding_this_award,object_classes_funding_this_award,program_activities_funding_this_award,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,prime_award_transaction_recipient_county_fips_code,recipient_county_name,prime_award_transaction_recipient_state_fips_code,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,prime_award_transaction_recipient_cd_original,prime_award_transaction_recipient_cd_current,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_scope,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,prime_award_transaction_place_of_performance_county_fips_code,primary_place_of_performance_county_name,prime_award_transaction_place_of_performance_state_fips_code,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,prime_award_transaction_place_of_performance_cd_original,prime_award_transaction_place_of_performance_cd_current,primary_place_of_performance_foreign_location,cfda_number,cfda_title,funding_opportunity_number,funding_opportunity_goals_text,assistance_type_code,assistance_type_description,transaction_description,prime_award_base_transaction_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,highly_compensated_officer_1_name,highly_compensated_officer_1_amount,highly_compensated_officer_2_name,highly_compensated_officer_2_amount,highly_compensated_officer_3_name,highly_compensated_officer_3_amount,highly_compensated_officer_4_name,highly_compensated_officer_4_amount,highly_compensated_officer_5_name,highly_compensated_officer_5_amount,usaspending_permalink,last_modified_date,USAspending_file_name,federal_action_obligation.y,total_obligated_amount.y,DeepTech,HighTech,Biotechnology,Quantum,FutureG,AdvMaterials,TrustedAI,SysOfSys,Microelectronics,Space Technology,Renewable,Computing,HMI,DirectedEnergy,Hypersonics,SensorCyber,ComponentTech,AnyTag
7300_10E2047943990005_10E20479439900052009OCT1703_59.016_-NONE-,ASST_NON_10E2047943990005_7300,10E2047943990005,NA,10E20479439900052009OCT1704,SAI NOT AVAILABLE,14790,0,NA,NA,1643,0,0,0,0,0,NA,NA,NA,NA,NA,2009-11-13,2010,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMERICAN CONTRACTING  LLC,AMERICAN CONTRACTING  LLC,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,FORT COLLINS,08069,LARIMER,08,CO,COLORADO,80526,0000,CO-04,CO-02,NA,NA,NA,NA,USA,UNITED STATES,08**069,FORT COLLINS,08069,LARIMER,08,COLORADO,805230000,CO-04,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,CSU INTERNATIONAL HOUSE PROGRAMMING SPACE ADDITION,CSU INTERNATIONAL HOUSE PROGRAMMING SPACE ADDITION,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_10E2047943990005_7300/,2010-08-11,FY2010_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_10E6802936980003_10E68029369800032009OCT7423_59.016_-NONE-,ASST_NON_10E6802936980003_7300,10E6802936980003,NA,10E68029369800032009OCT7424,SAI NOT AVAILABLE,192500,0,NA,NA,82500,0,0,0,0,0,NA,NA,NA,NA,NA,2009-11-09,2010,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LZ4UQ6EM53M5,827745485,ROBERT D NICHOL CONSTRUCTION,ROBERT D. NICHOL CONSTRUCTION,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,ANDERSON,06089,SHASTA,06,CA,CALIFORNIA,96007,0000,CA-02,CA-01,NA,NA,NA,NA,USA,UNITED STATES,06**089,ANDERSON,06089,SHASTA,06,CALIFORNIA,960070000,CA-02,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,OFFICE EXPANSION PROJECT-ADDITION OF 1768 SF OF OFFICE SPACE  ETC.,OFFICE EXPANSION PROJECT-ADDITION OF 1768 SF OF OFFICE SPACE  ETC.,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_10E6802936980003_7300/,2010-08-11,FY2010_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_10E8004010660001_10E80040106600012009OCT8648_59.016_-NONE-,ASST_NON_10E8004010660001_7300,10E8004010660001,NA,10E80040106600012009OCT8649,SAI NOT AVAILABLE,37321,373207,NA,NA,4147,41468,0,0,0,0,NA,NA,NA,NA,NA,2009-11-06,2010,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Z71AVX84WPN3,170108968,BONATECH ENGINEERING,BONATECH ENGINEERING,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,STOCKTON,06047,MERCED,06,CA,CALIFORNIA,95202,0000,CA-18,CA-09,NA,NA,NA,NA,USA,UNITED STATES,06**047,MERCED,06047,MERCED,06,CALIFORNIA,953400000,CA-18,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,COMPLETION OF THE BELLEVUE RANCH OPEN SPACE BIKE TRAIL CORRIDOR,COMPLETION OF THE BELLEVUE RANCH OPEN SPACE BIKE TRAIL CORRIDOR,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_10E8004010660001_7300/,2010-08-11,FY2010_073_Assistance_Full_20230908_1.csv,373207,746414,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_10E7604828720001_10E76048287200012009OCT8446_59.016_-NONE-,ASST_NON_10E7604828720001_7300,10E7604828720001,NA,10E76048287200012009OCT8446,SAI NOT AVAILABLE,1330562,1330562,NA,NA,570241,570241,0,0,0,0,NA,NA,NA,NA,NA,2009-11-06,2010,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LJH3CBXLQPL9,174482760,"SHUGART GLASS, INC.",SHUGART GLASS OF TEXAS  INC. DBA ALPHA GLASS,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,PASADENA,48201,HARRIS,48,TX,TEXAS,77505,0000,TX-22,TX-36,NA,NA,NA,NA,USA,UNITED STATES,48**201,PASADENA,48201,HARRIS,48,TEXAS,775050000,TX-22,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,JOHNSON SPACE CENTER  (HOUSTON  TX) FOR NASA - CONTRACT # NNJ09JA22C/0817-001,JOHNSON SPACE CENTER  (HOUSTON  TX) FOR NASA - CONTRACT # NNJ09JA22C/0817-001,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_10E7604828720001_7300/,2010-08-11,FY2010_073_Assistance_Full_20230908_1.csv,1330562,1330562,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_09E3117534410001_09E31175344100012009OCT31_59.016_-NONE-,ASST_NON_09E3117534410001_7300,09E3117534410001,NA,09E31175344100012009OCT31,SAI NOT AVAILABLE,518894,518894,NA,NA,129723,129723,0,0,0,0,NA,NA,NA,NA,NA,2009-10-06,2010,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Z2CYUAYZYVD1,073067931,AMERICAN SOLAR INC,AMERICAN SOLAR  INC.,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,ANNANDALE,24031,MONTGOMERY,24,MD,VIRGINIA,22003,0000,MD-08,MD-90,NA,NA,NA,NA,USA,UNITED STATES,24**031,HYATTSVILLE,24031,MONTGOMERY,24,MARYLAND,207830000,MD-08,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,W912DR-09-C-0043: RENEWABLE ENERGY ROOF SYSTEM AT ADELPHI LABORATORY CENTER,W912DR-09-C-0043: RENEWABLE ENERGY ROOF SYSTEM AT ADELPHI LABORATORY CENTER,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_09E3117534410001_7300/,2010-08-11,FY2010_073_Assistance_Full_20230908_1.csv,518894,518894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE
7300_11E2721772970009_11E27217729700092011SEP348_59.016_-NONE-,ASST_NON_11E2721772970009_7300,11E2721772970009,NA,11E27217729700092011SEP348,SAI NOT AVAILABLE,-9000,0,NA,NA,-1000,0,0,0,0,0,NA,NA,NA,NA,NA,2011-09-22,2011,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEGEND CONSTRUCTION AND PAINTING, INC.","LEGEND CONSTRUCTION AND PAINTING, INC.",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,SACRAMENTO,06067,SACRAMENTO,06,CA,CALIFORNIA,95824,0000,CA-01,CA-07,NA,NA,NA,NA,USA,UNITED STATES,06**045,UKIAH,06045,MENDOCINO,06,CALIFORNIA,954820000,CA-01,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,"REMODEL INTERIOR OFFICE/COUNTER SPACES AT 860 N BUSH ST. UKIAH, CA","REMODEL INTERIOR OFFICE/COUNTER SPACES AT 860 N BUSH ST. UKIAH, CA",NON,NA,R,SMALL BUSINESS,NA,NA,C,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_11E2721772970009_7300/,2011-10-12,FY2011_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_11E2724851790042_11E27248517900422011SEP332_59.016_-NONE-,ASST_NON_11E2724851790042_7300,11E2724851790042,NA,11E27248517900422011SEP332,SAI NOT AVAILABLE,40000,40000,NA,NA,10000,10000,0,0,0,0,NA,NA,NA,NA,NA,2011-09-19,2011,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHAROS ENTERPRISES, LLC","PHAROS ENTERPRISES, LLC",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,PARLIN,34023,MIDDLESEX,34,NJ,NEW JERSEY,08859,0000,NJ-04,NJ-06,NA,NA,NA,NA,USA,UNITED STATES,34**025,FREEHOLD,34025,MONMOUTH,34,NEW JERSEY,077280000,NJ-04,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,PROSECUTOR'S STAY BEHIND SPACE AT THE MONMOUTH COUNTY COURT HOUSE,PROSECUTOR'S STAY BEHIND SPACE AT THE MONMOUTH COUNTY COURT HOUSE,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_11E2724851790042_7300/,2011-10-12,FY2011_073_Assistance_Full_20230908_1.csv,40000,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_11E2721772970009_11E27217729700092011SEP201_59.016_-NONE-,ASST_NON_11E2721772970009_7300,11E2721772970009,NA,11E27217729700092011SEP348,SAI NOT AVAILABLE,9000,0,NA,NA,1000,0,0,0,0,0,NA,NA,NA,NA,NA,2011-09-12,2011,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEGEND CONSTRUCTION AND PAINTING, INC.","LEGEND CONSTRUCTION AND PAINTING, INC.",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,SACRAMENTO,06067,SACRAMENTO,06,CA,CALIFORNIA,95824,0000,CA-01,CA-07,NA,NA,NA,NA,USA,UNITED STATES,06**045,UKIAH,06045,MENDOCINO,06,CALIFORNIA,954820000,CA-01,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,"REMODEL INTERIOR OFFICE/COUNTER SPACES AT 860 N BUSH ST. UKIAH, CA","REMODEL INTERIOR OFFICE/COUNTER SPACES AT 860 N BUSH ST. UKIAH, CA",NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_11E2721772970009_7300/,2011-10-12,FY2011_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_11E2004514370011_11E20045143700112011AUG38_59.016_-NONE-,ASST_NON_11E2004514370011_7300,11E2004514370011,NA,11E20045143700112011AUG38,SAI NOT AVAILABLE,215601,215601,NA,NA,23956,23956,0,0,0,0,NA,NA,NA,NA,NA,2011-08-31,2011,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T29KPANQL3H2,023541274,A HOLE IN THE WALL CONSTRUCTION,"AHW CONSTRUCTION, LLC, A HOLE IN THE WALL CON",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,COMMERCE CITY,08001,ADAMS,08,CO,COLORADO,80022,0000,CO-03,CO-08,NA,NA,NA,NA,USA,UNITED STATES,08**085,MONTROSE,08085,MONTROSE,08,COLORADO,814010000,CO-03,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,OFFICE SPACE REMODEL,OFFICE SPACE REMODEL,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_11E2004514370011_7300/,2011-09-16,FY2011_073_Assistance_Full_20230908_1.csv,250517,250517,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_11E6240078280018_11E62400782800182011AUG337_59.016_-NONE-,ASST_NON_11E6240078280018_7300,11E6240078280018,NA,11E62400782800182011AUG337,SAI NOT AVAILABLE,-112500,0,NA,NA,-12500,0,0,0,0,0,NA,NA,NA,NA,NA,2011-08-30,2011,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWO BROTHERS CONSTRUCTION CO.,TWO BROTHERS CONSTRUCTION CO.,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,BUENA PARK,06059,ORANGE,06,CA,CALIFORNIA,90621,0000,CA-27,CA-45,NA,NA,NA,NA,USA,UNITED STATES,06**037,SYLMAR,06037,LOS ANGELES,06,CALIFORNIA,913420000,CA-27,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,STUDENT SERVICES ADMIN SWING SPACE ABESTOS/LEAD ABATEMENT SOIL REMEDIATION & DEMOLITION OF EXISTING RESIDENTIAL STRUCTURES,STUDENT SERVICES ADMIN SWING SPACE ABESTOS/LEAD ABATEMENT SOIL REMEDIATION & DEMOLITION OF EXISTING RESIDENTIAL STRUCTURES,NON,NA,R,SMALL BUSINESS,NA,NA,C,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_11E6240078280018_7300/,2011-09-16,FY2011_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_11E6240078280018_11E62400782800182011AUG355_59.016_-NONE-,ASST_NON_11E6240078280018_7300,11E6240078280018,NA,11E62400782800182011AUG337,SAI NOT AVAILABLE,22500,0,NA,NA,2500,0,0,0,0,0,NA,NA,NA,NA,NA,2011-08-24,2011,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWO BROTHERS CONSTRUCTION CO.,TWO BROTHERS CONSTRUCTION CO.,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,BUENA PARK,06059,ORANGE,06,CA,CALIFORNIA,90621,0000,CA-27,CA-45,NA,NA,NA,NA,USA,UNITED STATES,06**037,SYLMAR,06037,LOS ANGELES,06,CALIFORNIA,913420000,CA-27,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,STUDENT SERVICES ADMIN SWING SPACE ABESTOS/LEAD ABATEMENT SOIL REMEDIATION & DEMOLITION OF EXISTING RESIDENTIAL STRUCTURES,STUDENT SERVICES ADMIN SWING SPACE ABESTOS/LEAD ABATEMENT SOIL REMEDIATION & DEMOLITION OF EXISTING RESIDENTIAL STRUCTURES,NON,NA,R,SMALL BUSINESS,NA,NA,C,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_11E6240078280018_7300/,2011-09-16,FY2011_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_11E6240078280018_11E62400782800182011AUG638_59.016_-NONE-,ASST_NON_11E6240078280018_7300,11E6240078280018,NA,11E62400782800182011AUG337,SAI NOT AVAILABLE,90000,0,NA,NA,10000,0,0,0,0,0,NA,NA,NA,NA,NA,2011-08-22,2011,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWO BROTHERS CONSTRUCTION CO.,TWO BROTHERS CONSTRUCTION CO.,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,BUENA PARK,06059,ORANGE,06,CA,CALIFORNIA,90621,0000,CA-27,CA-45,NA,NA,NA,NA,USA,UNITED STATES,06**037,SYLMAR,06037,LOS ANGELES,06,CALIFORNIA,913420000,CA-27,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,STUDENT SERVICES ADMIN SWING SPACE ABESTOS/LEAD ABATEMENT SOIL REMEDIATION & DEMOLITION OF EXISTING RESIDENTIAL STRUCTURES,STUDENT SERVICES ADMIN SWING SPACE ABESTOS/LEAD ABATEMENT SOIL REMEDIATION & DEMOLITION OF EXISTING RESIDENTIAL STRUCTURES,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_11E6240078280018_7300/,2011-09-16,FY2011_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_11E5621993780001_11E56219937800012011AUG680_59.016_-NONE-,ASST_NON_11E5621993780001_7300,11E5621993780001,NA,11E56219937800012011AUG8,SAI NOT AVAILABLE,54000,0,NA,NA,6000,0,0,0,0,0,NA,NA,NA,NA,NA,2011-08-22,2011,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATKINSON INCORPORATED,ATKINSON INCORPORATED,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,FAYETTEVILLE,37051,CUMBERLAND,37,NC,NORTH CAROLINA,28311,0000,NC-04,NC-09,NA,NA,NA,NA,USA,UNITED STATES,37**063,DURHAM,37063,DURHAM,37,NORTH CAROLINA,277010000,NC-04,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,SITE PREP FOR AUDIOLOGY BOOTHS- RENOVATE APPROX 850 SF OF SPACE IN EXISTING AUDIOLOGY CLINIC,SITE PREP FOR AUDIOLOGY BOOTHS- RENOVATE APPROX 850 SF OF SPACE IN EXISTING AUDIOLOGY CLINIC,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_11E5621993780001_7300/,2011-09-16,FY2011_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_11E2715240380004_11E27152403800042011JUL507_59.016_-NONE-,ASST_NON_11E2715240380004_7300,11E2715240380004,NA,11E27152403800042011JUL507,SAI NOT AVAILABLE,60000,60000,NA,NA,15000,15000,0,0,0,0,NA,NA,NA,NA,NA,2011-07-15,2011,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CPI OF THE MIDWEST, INC.","CPI OF THE MIDWEST, INC.",NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,ROCK ISLAND,17161,ROCK ISLAND,17,IL,ILLINOIS,61201,0000,IL-18,IL-17,NA,NA,NA,NA,USA,UNITED STATES,17**073,TOULON,17073,HENRY,17,ILLINOIS,614830000,IL-18,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,"6300 SE BLDG, WOODFRAME BLDG INCLUDES OPEN SPACE, MEETING ROOMS, RESTROOMS AND OFFICE","6300 SE BLDG, WOODFRAME BLDG INCLUDES OPEN SPACE, MEETING ROOMS, RESTROOMS AND OFFICE",NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_11E2715240380004_7300/,2011-08-16,FY2011_073_Assistance_Full_20230908_1.csv,60000,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_11E1123800830014_11E11238008300142011JUN58_59.016_-NONE-,ASST_NON_11E1123800830014_7300,11E1123800830014,NA,11E11238008300142011JUN58,SAI NOT AVAILABLE,16000,16000,NA,NA,4000,4000,0,0,0,0,NA,NA,NA,NA,NA,2011-06-23,2011,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LINDA HOLDING CORP. DBA MAGGIO AND SONS,LINDA HOLDING CORP. DBA MAGGIO AND SONS,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,ROUND TOP,36039,GREENE,36,NY,NEW YORK,12473,0000,NY-20,NY-19,NA,NA,NA,NA,USA,UNITED STATES,36**027,MILLBROOK,36027,DUTCHESS,36,NEW YORK,125450000,NY-20,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,CRAWLSPACE RECONSTRUCTION AT MILLBROOK MIDDLE SCHOOL - SITEWORK,CRAWLSPACE RECONSTRUCTION AT MILLBROOK MIDDLE SCHOOL - SITEWORK,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_11E1123800830014_7300/,2011-07-13,FY2011_073_Assistance_Full_20230908_1.csv,16000,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_11E8003290350008_11E80032903500082011JUN820_59.016_-NONE-,ASST_NON_11E8003290350008_7300,11E8003290350008,NA,11E80032903500082011JUN820,SAI NOT AVAILABLE,5731,5731,NA,NA,637,637,0,0,0,0,NA,NA,NA,NA,NA,2011-06-17,2011,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CALLAHAN CONSTRUCTION COMPANY,CALLAHAN CONSTRUCTION COMPANY,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,FAIRBANKS,02090,FAIRBANKS NORTH STAR,02,AK,ALASKA,99709,0000,AK-01,AK-00,NA,NA,NA,NA,USA,UNITED STATES,02**170,PALMER,02170,MATANUSKA-SUSITNA,02,ALASKA,996450000,AK-01,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,"TALKEETNA LIBRARY UPGRADES-REPLACE WINDOWS, ATTIC VENTILATION, ADD CRAWL SPACE INSULATION, HAZARDOUS MATERIALS ABATEMENT","TALKEETNA LIBRARY UPGRADES-REPLACE WINDOWS, ATTIC VENTILATION, ADD CRAWL SPACE INSULATION, HAZARDOUS MATERIALS ABATEMENT",NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_11E8003290350008_7300/,2011-07-13,FY2011_073_Assistance_Full_20230908_1.csv,5731,5731,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
