Fiscal Year,Contracting Department ID,Contracting Department Name,Product or Service Code,Product or Service Description,Base and All Options Value (Total Contract Value),Base and Exercised Options Value,Dollars Obligated,Number of Actions,Number of Records
2011,9700,DEPT OF DEFENSE,1145,"EXPLOSIVE & PYROTECHNIC COMPS, NUCL","$66,246,474.77 ","$66,226,850.26 ","$66,226,850.26 ",16,16
2011,9700,DEPT OF DEFENSE,1190,"SPEC TEST & HANDLING EQ, NUCLEAR EQ","$753,444.53 ","$750,791.29 ","$750,791.29 ",24,24
2011,9700,DEPT OF DEFENSE,1195,MISCELLANEOUS NUCLEAR ORDNANCE,"$45,425.00 ","$45,425.00 ","$45,425.00 ",7,7
2011,9700,DEPT OF DEFENSE,1210,FIRE CONTROL DIRECTORS,"$64,555,996.78 ","$55,308,109.78 ","$55,308,109.78 ",16,16
2011,9700,DEPT OF DEFENSE,1220,FIRE CONT COMPUTING SIGHTS & DEVICE,"$6,867,913.98 ","$6,867,913.98 ","$5,342,917.60 ",156,156
2011,9700,DEPT OF DEFENSE,1230,"FIRE CONTROL SYSTEMS, COMPLETE","$46,334,997.47 ","$112,743,701.54 ","$132,114,632.80 ",178,178
2011,9700,DEPT OF DEFENSE,1240,OPTICAL SIGHTING & RANGING EQUIPMEN,"$2,878,840,720.91 ","$713,314,138.27 ","$749,881,561.21 ",1201,1201
2011,9700,DEPT OF DEFENSE,1250,FIRE CONTROL STABILIZING MECHANISMS,"$210,416.00 ","$210,416.00 ","$210,416.00 ",11,11
2011,9700,DEPT OF DEFENSE,1260,FIRE CONT DESIGNATING-INDICATING EQ,"$318,556,752.38 ","$316,846,326.18 ","$244,011,553.62 ",218,218
2011,9700,DEPT OF DEFENSE,1265,FIRE CONT EQ EXCEPT AIRBORNE,"$90,793,906.84 ","$133,079,212.84 ","$123,104,592.84 ",66,66
2011,9700,DEPT OF DEFENSE,1270,AIRCRAFT GUNNERY FIRE CONT COMPS,"$109,008,144.13 ","$94,662,670.87 ","$92,596,645.51 ",391,391
2011,9700,DEPT OF DEFENSE,1280,AIRCRAFT BOMBING FIRE CONT COMPS,"$6,618,312.44 ","$2,598,204.44 ","$2,076,566.17 ",35,35
2011,9700,DEPT OF DEFENSE,1285,FIRE CONT RADAR EQ EXCEPT AIRBORNE,"$226,639,831.97 ","$224,815,054.96 ","$247,077,719.46 ",179,179
2011,9700,DEPT OF DEFENSE,1287,FIRE CONTROL SONAR EQUIPMENT,"$1,158,781,680.01 ","$447,188,824.01 ","$289,199,706.01 ",44,44
2011,9700,DEPT OF DEFENSE,1290,MISC FIRE CONT EQUIPMENT,"$72,355,498.21 ","$54,176,227.74 ","$54,377,504.89 ",404,404
2011,9700,DEPT OF DEFENSE,1305,"AMMUNITION, THROUGH 30 MM","$1,456,312,377.57 ","$1,154,439,719.01 ","$1,176,005,732.50 ",594,594
2011,9700,DEPT OF DEFENSE,1310,"AMMUNITION, OVER 30 MM UP TO 75 MM","$2,222,276,053.59 ","$267,608,894.80 ","$267,755,182.45 ",242,242
2011,9700,DEPT OF DEFENSE,1315,"AMMUNITION, 75 MM THROUGH 125 MM.","$1,181,622,878.18 ","$417,385,663.64 ","$426,626,980.11 ",225,225
2011,9700,DEPT OF DEFENSE,1320,"AMMUNITION, OVER 125 MM","$482,743,843.39 ","$421,566,843.76 ","$548,128,055.96 ",282,282
2011,9700,DEPT OF DEFENSE,1325,BOMBS,"$1,854,808,690.19 ","$853,356,219.95 ","$881,346,032.61 ",276,276
2011,9700,DEPT OF DEFENSE,1330,GRENADES,"$64,938,652.10 ","$54,786,224.06 ","$54,987,299.59 ",154,154
2011,9700,DEPT OF DEFENSE,1336,GUIDED MSL WARHDS-EXPLOSIVE COMPS,"$375,963,905.51 ","$357,584,134.51 ","$268,546,558.09 ",296,296
2011,9700,DEPT OF DEFENSE,1337,MSL & SPACE VEH EXPLOSIVE PROPULSN,"$2,074,483,989.86 ","$2,047,779,725.86 ","$1,427,719,182.04 ",187,187
2011,9700,DEPT OF DEFENSE,1338,MSL & SPACE VEH INERT PROPULSION,"$680,338.98 ","$680,338.98 ","$680,338.98 ",12,12
2011,9700,DEPT OF DEFENSE,1340,ROCKETS & ROCKET AMMUNITION,"$847,804,822.98 ","$845,612,219.23 ","$840,071,419.74 ",165,165
2011,9700,DEPT OF DEFENSE,1345,LAND MINES,"$590,922,895.99 ","$571,080,576.13 ","$571,079,976.13 ",170,170
2011,9700,DEPT OF DEFENSE,1346,REMOTE MUNITIONS,"$19,331,059.74 ","$19,331,059.74 ","$19,331,059.74 ",13,13
2011,9700,DEPT OF DEFENSE,1350,UNDERWATER MINE INERT COMPONENTS,"$843,799.00 ","$843,799.00 ","$639,728.00 ",15,15
2011,9700,DEPT OF DEFENSE,1351,UNDERWATER MINE EXPLOSIVE COMPS,"$2,242,710.00 ","$2,242,710.00 ","$2,242,710.00 ",4,4
2011,9700,DEPT OF DEFENSE,1353,UNDERWATER MINE DISPOAL EXPLOSIVE DEVICES,"$1,222.00 ","$1,222.00 ","$1,222.00 ",3,3
2011,9700,DEPT OF DEFENSE,1355,TORPEDO INERT COMPONENTS,"$12,247,500.94 ","$21,518,470.49 ","$21,478,677.49 ",140,140
2011,9700,DEPT OF DEFENSE,1356,TORPEDO EXPLOSIVE COMPONENTS,"($96,534.27)","$3,158,485.13 ","$3,158,485.13 ",26,26
2011,9700,DEPT OF DEFENSE,1360,DEPTH CHARGE INERT COMPONENTS,"$5,329,267.88 ","$5,329,267.88 ","$5,329,267.88 ",16,16
2011,9700,DEPT OF DEFENSE,1361,DEPTH CHARGE EXPLOSIVE COMPONENTS,"$92,520.64 ","$92,520.64 ","$92,520.64 ",5,5
2011,9700,DEPT OF DEFENSE,1365,MILITARY CHEMICAL AGENTS,"$2,941,129.56 ","$2,941,129.56 ","$2,941,129.56 ",12,12
2011,9700,DEPT OF DEFENSE,1367,"TACTICAL SETS, KITS, AND OUTFITS","$128,856,192.32 ","$128,856,192.32 ","$128,856,192.32 ",267,267
2011,9700,DEPT OF DEFENSE,1370,PYROTECHNICS,"$354,411,281.77 ","$197,854,401.97 ","$196,935,282.92 ",253,253
2011,9700,DEPT OF DEFENSE,1375,DEMOLITION MATERIALS,"$285,719,775.07 ","$125,309,931.87 ","$125,310,086.81 ",266,266
2011,9700,DEPT OF DEFENSE,1376,BULK EXPLOSIVES,"$548,713,744.81 ","$125,674,089.90 ","$125,669,708.44 ",84,84
2011,9700,DEPT OF DEFENSE,1377,CARTRIDGE & PROPELLANT DEVICES,"$128,160,652.82 ","$108,118,292.83 ","$108,185,649.26 ",1311,1075
2011,9700,DEPT OF DEFENSE,1385,SURFACE EXPLOSIVE ORD DISPOSAL TOOL,"$1,102,888,628.55 ","$203,261,185.94 ","$202,162,076.07 ",371,371
2011,9700,DEPT OF DEFENSE,1386,UNDERWATER EXPLOSIVE ORD DISPOSAL,"$104,862,677.13 ","$4,161,660.63 ","$4,056,181.57 ",28,28
2011,9700,DEPT OF DEFENSE,1390,FUZES AND PRIMERS,"$158,698,124.93 ","$121,164,551.93 ","$154,484,909.79 ",115,115
2011,9700,DEPT OF DEFENSE,1395,MISCELLANEOUS AMMUNITION,"$253,371,133.70 ","$192,798,203.08 ","$193,740,903.42 ",226,226
2011,9700,DEPT OF DEFENSE,1398,AMMUNITION HANDLING & SERVICING EQ,"$12,118,463.74 ","$8,020,191.99 ","$4,793,825.80 ",119,119
2011,9700,DEPT OF DEFENSE,1410,GUIDED MISSILES,"$6,263,584,919.21 ","$5,487,262,223.54 ","$5,733,327,918.56 ",1126,1126
2011,9700,DEPT OF DEFENSE,1420,GUIDED MISSILE COMPONENTS,"$1,084,222,053.92 ","$1,077,616,745.56 ","$1,181,156,547.22 ",606,606
2011,9700,DEPT OF DEFENSE,1425,"GUIDED MISSILE SYSTEMS, COMPLETE","$380,848,493.51 ","$281,040,940.50 ","$286,535,032.20 ",215,215
2011,9700,DEPT OF DEFENSE,1427,GUIDED MISSILE SUBSYSTEMS,"$410,682,848.78 ","$414,004,519.78 ","$418,248,993.13 ",90,90
2011,9700,DEPT OF DEFENSE,1430,GUIDED MISSILE REMOTE CONT SYSTEMS,"$85,661,868.47 ","$86,051,994.58 ","$87,034,929.28 ",273,273
2011,9700,DEPT OF DEFENSE,1440,"LAUNCHERS, GUIDED MISSILE","$540,204,192.41 ","$540,996,260.41 ","$517,955,681.42 ",578,578
2011,9700,DEPT OF DEFENSE,1450,GUIDED MISSILE HANDLING SERVICE EQ,"$28,032,613.05 ","$9,110,974.73 ","$7,424,140.17 ",190,190
2011,9700,DEPT OF DEFENSE,1510,"AIRCRAFT, FIXED WING","$74,928,266,522.88 ","$29,568,052,140.59 ","$21,119,311,401.20 ",2802,2795
2011,9700,DEPT OF DEFENSE,1520,"AIRCRAFT, ROTARY WING","$1,382,633,606.52 ","$5,821,146,734.74 ","$8,741,042,210.19 ",1307,1307
2011,9700,DEPT OF DEFENSE,1540,GLIDERS,"$5,934,427.38 ","$5,934,427.38 ","$5,929,427.38 ",15,15
2011,9700,DEPT OF DEFENSE,1550,DRONES,"$1,875,060,900.82 ","$1,837,305,951.96 ","$2,016,079,246.75 ",505,505
2011,9700,DEPT OF DEFENSE,1560,AIRFRAME STRUCTURAL COMPONENTS,"$5,424,229,873.50 ","$3,107,967,351.53 ","$2,836,129,410.82 ",24407,24406
2011,9700,DEPT OF DEFENSE,1610,AIRCRAFT PROPELLERS AND COMPONENTS,"$164,088,539.53 ","$163,917,286.53 ","$163,499,542.71 ",957,957
2011,9700,DEPT OF DEFENSE,1615,HELICOPTER ROTOR BLADES-DRIVE MECH,"$952,313,854.41 ","$518,624,753.26 ","$488,473,222.12 ",2403,2403
2011,9700,DEPT OF DEFENSE,1620,AIRCRAFT LANDING GEAR COMPONENTS,"$1,470,986,479.58 ","$217,456,195.28 ","$223,641,661.88 ",1904,1904
2011,9700,DEPT OF DEFENSE,1630,AIRCRAFT WHEEL AND BRAKE SYSTEMS,"$166,175,723.66 ","$159,233,439.22 ","$139,056,313.18 ",902,900
2011,9700,DEPT OF DEFENSE,1640,AIRCRAFT CONTROL CABLE PRODUCTS,"$610,841.22 ","$610,841.22 ","$583,091.22 ",72,72
2011,9700,DEPT OF DEFENSE,1650,AIRCRAFT HYDRAULIC VACUUM DE-ICING,"$280,351,490.44 ","$165,446,688.25 ","$163,859,407.51 ",2965,2965
2011,9700,DEPT OF DEFENSE,1660,AIRCRAFT AIR CONDITION HEATING EQ,"$156,458,095.16 ","$109,206,221.08 ","$105,758,379.82 ",2603,2594
2011,9700,DEPT OF DEFENSE,1670,PARACHUTE RECOVER SYS & TIE DOWN EQ,"$545,323,068.13 ","$327,863,428.31 ","$327,886,323.56 ",1310,1310
2011,9700,DEPT OF DEFENSE,1680,MISCL AIRCRAFT ACCESSORIES COMPS,"$8,381,699,509.29 ","$5,976,788,879.71 ","$4,694,680,233.44 ",12948,12903
2011,9700,DEPT OF DEFENSE,1710,AIRCRAFT LANDING EQUIPMENT,"$86,253,441.16 ","$85,830,527.19 ","$151,688,000.47 ",414,414
2011,9700,DEPT OF DEFENSE,1720,AIRCRAFT LAUNCHING EQUIPMENT,"$30,101,927.23 ","$27,001,769.79 ","$161,875,660.48 ",234,234
2011,9700,DEPT OF DEFENSE,1730,AIRCRAFT GROUND SERVICING EQUIPMENT,"$495,222,921.87 ","$329,550,294.65 ","$314,180,702.69 ",2460,2454
2011,9700,DEPT OF DEFENSE,1740,AIRFIELD SPECIAL TRUCKS & TRAILERS,"$94,645,032.83 ","$32,213,610.44 ","$32,213,610.44 ",313,313
2011,9700,DEPT OF DEFENSE,1810,SPACE VEHICLES,"$3,299,431,301.71 ","$3,289,516,544.02 ","$2,861,787,574.92 ",270,270
2011,9700,DEPT OF DEFENSE,1820,SPACE VEHICLE COMPONENTS,"($8,670,524.59)","($6,273,797.59)","$76,846,964.95 ",60,60
2011,9700,DEPT OF DEFENSE,1830,SPACE VEHICLE REMOTE CONT SYSTEMS,"$29,167,079.94 ","$29,142,113.94 ","$40,632,397.81 ",22,22
2011,9700,DEPT OF DEFENSE,1840,SPACE VEHICLE LAUNCHERS,"$630,976.00 ","$630,976.00 ","$630,976.00 ",5,5
2011,9700,DEPT OF DEFENSE,1850,SPACE VEHICLE HANDLING & SERVICE EQ,"$69,891.36 ","$69,891.36 ","$69,891.36 ",1,1
2011,9700,DEPT OF DEFENSE,1860,SPACE SURVIVAL EQUIPMENT,"$61,254.08 ","$61,254.08 ","$12,865.08 ",3,3
2011,9700,DEPT OF DEFENSE,1900,FRIGATES AND CORVETTES,$0.00 ,$0.00 ,$0.00 ,1,1
2011,9700,DEPT OF DEFENSE,1901,AIRCRAFT CARRIERS,"$1,098,898,065.11 ","$1,535,817,245.11 ","$2,008,266,622.46 ",1595,1595
2011,9700,DEPT OF DEFENSE,1902,CRUISERS,"$59,294,308.00 ","$60,597,337.00 ","$59,855,500.00 ",86,86
2011,9700,DEPT OF DEFENSE,1903,DESTROYERS,"$5,537,436,292.74 ","$4,775,710,474.27 ","$5,847,725,503.61 ",860,860
2011,9700,DEPT OF DEFENSE,1904,SUBMARINES,"$1,609,255,026.29 ","$968,722,836.75 ","$4,219,148,372.45 ",1202,1202
2011,9700,DEPT OF DEFENSE,1905,COMBAT SHIPS AND LANDING VESSELS,"$10,163,740,823.19 ","$2,527,486,708.19 ","$2,425,039,142.09 ",491,491
2011,9700,DEPT OF DEFENSE,1906,MINELAYERS ADN MINESWEEPERS,"$63,725.40 ","$63,725.40 ","$759,753.40 ",10,10
2011,9700,DEPT OF DEFENSE,1907,LANDING CRAFT,"$4,899,114.19 ","$4,899,114.19 ","$4,899,114.19 ",70,70
2011,9700,DEPT OF DEFENSE,1909,HYDROFOILS,"$42,493.41 ","$42,493.41 ","$42,493.41 ",5,5
2011,9700,DEPT OF DEFENSE,1910,TRANSPORT VESSELS-PASSENGER & TROOP,"$2,967,705.53 ","$520,473,034.53 ","$520,495,911.53 ",58,58
2011,9700,DEPT OF DEFENSE,1911,AMPHIBIOUS ASSAULT SHIPS,"$1,555,466,514.50 ","$1,579,923,176.50 ","$1,843,217,960.68 ",284,284
2011,9700,DEPT OF DEFENSE,1915,CARGO AND TANKER VESSELS,"$55,007.85 ","$55,007.85 ","$54,855,844.85 ",60,60
2011,9700,DEPT OF DEFENSE,1920,FISHING VESSELS,"$690,560.30 ","$651,742.50 ","$651,742.50 ",18,18
2011,9700,DEPT OF DEFENSE,1921,TUGS AND TOWBOATS,"$1,404,403.48 ","$1,397,203.48 ","$1,391,931.48 ",20,20
2011,9700,DEPT OF DEFENSE,1922,FIRE BOATS,"$11,450.00 ","$11,450.00 ","$11,450.00 ",4,4
2011,9700,DEPT OF DEFENSE,1923,ICE BREAKERS,"$109,525.28 ","$109,525.28 ","$109,525.28 ",4,4
2011,9700,DEPT OF DEFENSE,1924,REPAIR SHIPS,"$49,987,490.29 ","$49,081,128.79 ","$49,166,937.79 ",241,241
2011,9700,DEPT OF DEFENSE,1925,SPECIAL SERVICE VESSELS,"$16,408,226.67 ","$15,732,151.30 ","$15,984,136.20 ",78,78
2011,9700,DEPT OF DEFENSE,1926,LIGHTSHIPS,"$88,257,429.00 ","$88,257,429.00 ","$65,845,429.00 ",12,12
2011,9700,DEPT OF DEFENSE,1928,SALVAGE VESSELS,"$2,650.00 ","$2,650.00 ","$2,650.00 ",2,2
2011,9700,DEPT OF DEFENSE,1929,RESCUE VESSELS,"$641,453.06 ","$641,453.06 ","$641,453.06 ",8,8
2011,9700,DEPT OF DEFENSE,1930,"BARGES AND LIGHTERS, CARGO","$946,096.98 ","$20,537,887.24 ","$140,607.13 ",16,16
2011,9700,DEPT OF DEFENSE,1935,BARGES & LIGHTERS SPECIAL PURPOSE,"$7,346,618.00 ","$7,346,618.00 ","$15,812,800.00 ",41,41
2011,9700,DEPT OF DEFENSE,1940,SMALL CRAFT,"$1,914,631,193.03 ","$209,771,786.53 ","$232,852,524.03 ",488,488
2011,9700,DEPT OF DEFENSE,1945,PONTOONS AND FLOATING DOCKS,"$1,244,596.13 ","$1,219,696.13 ","$1,217,225.34 ",27,27
2011,9700,DEPT OF DEFENSE,1950,FLOATING DRYDOCKS,"$223,605.46 ","$140,944.46 ","$140,944.46 ",10,10
2011,9700,DEPT OF DEFENSE,1955,DREDGES,"$3,101,600.05 ","$3,101,600.05 ","$3,385,982.05 ",24,24
2011,9700,DEPT OF DEFENSE,1990,MISCELLANEOUS VESSELS,"$2,086,984,692.56 ","$856,410,346.39 ","$562,715,233.22 ",408,408
2011,9700,DEPT OF DEFENSE,2010,SHIP AND BOAT PROPULSION COMPONENTS,"$161,248,307.51 ","$170,459,166.23 ","$611,530,420.68 ",780,779
2011,9700,DEPT OF DEFENSE,2020,RIGGING AND RIGGING GEAR,"$1,017,088.65 ","$917,088.65 ","$917,088.65 ",68,66
2011,9700,DEPT OF DEFENSE,2030,DECK MACHINERY,"$3,648,043.53 ","$3,362,921.83 ","$3,362,921.83 ",129,128
2011,9700,DEPT OF DEFENSE,2040,MARINE HARDWARE AND HULL ITEMS,"$47,570,896.15 ","$20,995,814.51 ","$20,208,193.23 ",1185,1158
2011,9700,DEPT OF DEFENSE,2050,BUOYS,"$927,876.25 ","$827,876.25 ","$827,876.25 ",39,39
2011,9700,DEPT OF DEFENSE,2060,COMMERCIAL FISHING EQUIPMENT,"$27,217.00 ","$27,217.00 ","$27,217.00 ",2,2
2011,9700,DEPT OF DEFENSE,2090,MISC SHIP & MARINE EQ,"$336,553,653.81 ","$280,835,636.50 ","$253,910,261.84 ",4887,4887
2011,9700,DEPT OF DEFENSE,2210,LOCOMOTIVES,"$19,891.56 ","$15,083.28 ","$10,275.00 ",4,4
2011,9700,DEPT OF DEFENSE,2220,RAIL CARS,"$197,740.51 ","$197,740.51 ","$197,740.51 ",9,9
2011,9700,DEPT OF DEFENSE,2230,RAILROAD RIGHT OF WAY CONSTR EQ,"$1,117,726.93 ","$1,117,726.93 ","$1,117,726.93 ",10,10
2011,9700,DEPT OF DEFENSE,2240,LOCOMOTIVE & RAIL CAR ACCESSORIES,"$22,695,673.03 ","$22,695,673.03 ","$22,695,673.03 ",110,109
2011,9700,DEPT OF DEFENSE,2250,"TRACK MATERIAL, RAILROAD","$3,258,550.64 ","$3,344,814.04 ","$3,231,653.70 ",44,44
2011,9700,DEPT OF DEFENSE,2305,GROUND EFFECT VEHICLES,"$2,752,507,374.52 ","$2,675,399,825.82 ","$2,673,927,419.82 ",577,577
2011,9700,DEPT OF DEFENSE,2310,PASSENGER MOTOR VEHICLES,"$286,757,554.62 ","$192,682,956.62 ","$187,843,202.91 ",1319,1317
2011,9700,DEPT OF DEFENSE,2320,"TRUCKS AND TRUCK TRACTORS, WHEELED","$2,891,682,800.14 ","$2,643,340,288.28 ","$2,658,368,350.14 ",2915,2913
2011,9700,DEPT OF DEFENSE,2330,TRAILERS,"$254,449,245.40 ","$171,823,763.88 ","$171,587,467.25 ",1040,1040
2011,9700,DEPT OF DEFENSE,2340,"MOTORCYCLE,MOTOR SCOOTERS & BIKES","$39,015,519.41 ","$26,558,355.12 ","$26,526,707.30 ",294,294
2011,9700,DEPT OF DEFENSE,2350,COMBAT ASSAULT & TACTICAL VEH,"$7,026,981,303.01 ","$3,989,876,893.02 ","$4,606,080,861.89 ",1588,1587
2011,9700,DEPT OF DEFENSE,2355,COMBAT ASSAULT AND TACTICAL VEHICLES WHEELED,"$2,931,300,688.51 ","$2,806,622,836.51 ","$2,806,635,579.51 ",407,407
2011,9700,DEPT OF DEFENSE,2410,"TRACTORS, FULL TRACKED, LOW SPEED","$7,912,836.99 ","$2,912,836.99 ","$2,904,176.99 ",60,60
2011,9700,DEPT OF DEFENSE,2420,"TRACTORS, WHEELED","$7,571,964.32 ","$7,571,964.32 ","$7,505,004.31 ",200,200
2011,9700,DEPT OF DEFENSE,2430,"TRACTORS, FULL TRACKED, HIGH SPEED","$619,411.28 ","$619,411.28 ","$619,411.28 ",14,14
2011,9700,DEPT OF DEFENSE,2510,VEH CAB BODY FRAME STRUCTURAL COMP,"$301,785,437.54 ","$233,581,755.85 ","$233,524,246.44 ",2999,2999
2011,9700,DEPT OF DEFENSE,2520,VEH POWER TRANSMISSION COMPONENTS,"$187,877,251.45 ","$130,832,569.49 ","$114,859,942.29 ",1527,1527
2011,9700,DEPT OF DEFENSE,2530,VEH BRAKE STEERING AXLE WHEEL COMP,"$300,637,825.84 ","$232,089,956.33 ","$232,075,742.49 ",3406,3406
2011,9700,DEPT OF DEFENSE,2540,VEHICULAR FURNITURE AND ACCESSORIES,"$194,429,601.76 ","$149,680,496.42 ","$149,046,293.14 ",3658,3658
2011,9700,DEPT OF DEFENSE,2541,VEH ACCESSORY/WEAPONS SYS SPECIFIC,"$1,292,515,752.29 ","$1,293,679,961.42 ","$1,292,046,334.68 ",565,565
2011,9700,DEPT OF DEFENSE,2590,MISCELLANEOUS VEHICULAR COMPONENTS,"$908,008,641.19 ","$535,502,649.44 ","$569,159,376.52 ",4745,4225
2011,9700,DEPT OF DEFENSE,2610,TIRES & TUBES PNEUMATIC EXCEPT AIR,"$10,126,553,881.69 ","$85,849,564.89 ","$85,849,564.88 ",3792,3792
2011,9700,DEPT OF DEFENSE,2620,TIRES & TUBES PNEUMATIC AIRCRAFT,"$72,223,784.45 ","$72,223,784.45 ","$72,223,784.45 ",3242,3242
2011,9700,DEPT OF DEFENSE,2630,"TIRES, SOLID AND CUSHION","$1,436,086.60 ","$2,001,172.60 ","$1,880,499.84 ",68,68
2011,9700,DEPT OF DEFENSE,2640,TIRES & TUBES REBUILDING-REP MTL,"$6,302,101.09 ","$4,910,746.09 ","$4,910,746.09 ",122,122
2011,9700,DEPT OF DEFENSE,2805,GAS RECIPROCATING ENG - EXCEPT AIR,"$19,131,270.00 ","$18,798,100.90 ","$18,797,816.90 ",195,195
2011,9700,DEPT OF DEFENSE,2810,GAS RECIPROCATING ENG - AIRCRAFT,"$2,704,283.20 ","$2,704,283.20 ","$2,704,283.19 ",100,94
2011,9700,DEPT OF DEFENSE,2815,DIESEL ENGINES AND COMPONENTS,"$878,879,450.22 ","$164,846,840.46 ","$164,370,874.24 ",1772,1768
2011,9700,DEPT OF DEFENSE,2820,STEAM ENGINES RECIPROCATING & COMPS,$300.00 ,$300.00 ,$300.00 ,1,1
2011,9700,DEPT OF DEFENSE,2825,STEAM TURBINES AND COMPONENTS,"$19,472,634.66 ","$10,640,649.66 ","$11,709,982.64 ",293,293
2011,9700,DEPT OF DEFENSE,2830,"WATER TURBINES,WATER WHEELS & COMPS","$28,148,624.87 ","$29,495,445.87 ","$32,099,609.99 ",69,69
2011,9700,DEPT OF DEFENSE,2835,GAS TURBINES & JET ENG EXCEPT AIR,"$132,659,562.64 ","$118,010,279.38 ","$272,706,581.49 ",1533,1533
2011,9700,DEPT OF DEFENSE,2840,GAS TURBINES & JET ENGINES AIRCRAFT,"$4,802,528,151.11 ","$4,079,334,482.38 ","$4,454,073,999.98 ",6091,6091
2011,9700,DEPT OF DEFENSE,2845,ROCKET ENGINES AND COMPONENTS,"$6,213,556.00 ","$6,213,556.00 ","$6,213,556.00 ",21,21
2011,9700,DEPT OF DEFENSE,2850,GASOLINE ROTORY ENGINES & COMPS,"$253,068.55 ","$253,068.55 ","$253,068.55 ",13,13
2011,9700,DEPT OF DEFENSE,2895,MISC ENGINES & COMPONENTS,"$51,574,308.10 ","$18,356,136.10 ","$17,528,505.47 ",340,331
2011,9700,DEPT OF DEFENSE,2910,ENGINE FUEL SYS COMPONENTS NONAIR,"$1,063,787,360.16 ","$44,904,735.11 ","$44,831,317.05 ",2070,2070
2011,9700,DEPT OF DEFENSE,2915,ENGINE FUEL SYSTEM COMPONENTS AIR,"$154,613,622.27 ","$130,155,078.90 ","$129,143,292.86 ",1800,1800
2011,9700,DEPT OF DEFENSE,2920,ENGINE ELECT SYS COMPS NONAIRCRAFT,"$47,282,418.16 ","$23,576,245.89 ","$23,576,245.89 ",835,833
2011,9700,DEPT OF DEFENSE,2925,ENGINE ELECT SYS COMPS - AIRCRAFT,"$38,648,605.63 ","$26,410,799.88 ","$26,261,231.38 ",379,379
2011,9700,DEPT OF DEFENSE,2930,ENGINE COOLING SYS COMPS - NONAIR,"$21,961,121.98 ","$18,704,228.56 ","$18,451,948.16 ",760,760
2011,9700,DEPT OF DEFENSE,2935,ENGINE COOLING SYS COMPONENTS - AIR,"$20,949,931.89 ","$17,924,131.89 ","$17,924,131.89 ",109,108
