Description_of_Requirement,second,descrip_row_number
"NATIONAL INTEREST ACTION: COVID192020
THE PURPOSE OF THIS OTHER TRANSACTIONAL AGREEMENT IS TO REIMBURSE NORTHWEST ALABAMA REGIONAL AIRPORT FOR COVID19 CLEANING.",Second,25
"THE PURPOSE OF MODIFICATION P00001 IS TO EXTEND THE POP OF THIS OTA FROM DECEMBER 18, 2020 TO DECEMBER 18, 2021.",Second,26
UTILITY CONSUMPTION REIMBURSEMENT AND COVID-19 CLEANING AT BURBANK GLENDALE PASADENA AIRPORT (BUR).,Second,27
"EXTEND THE PERIOD OF PERFORMANCE FOR THE CLEANING AND SANITATION OF THE TSA CHECKPOINT AREAS AT BURBANK BOB-HOPE AIRPORT (BUR) IN RESPONSE TO COVID-19 FROM JULY 1, 2021 TO SEPTEMBER 30, 2021.",Second,28
MODIFICATION P00001 TO 70T01020T9NCKP024 EXTENDS THE PERIOD OF PERFORMANCE AND OBLIGATES FUNDING FOR THE REIMBURSEMENT FOR FIXED ELECTRICAL COST FOR THE TSA SECURITY CHECKPOINT AND BAGGAGE.,Second,29
EXERCISE OPTION PERIOD 1 TO FUND ELECTRICAL CONSUMPTION AT GAINESVILLE AIRPORT.,Second,30
THE PURPOSE OF MODIFICATION P00001 IS FOR REIMBURSEMENT OF ELECTRICAL COSTS AT CYRIL E. KING AIRPORT FOR A PERIOD BETWEEN 7/1/21 - 6/30/22.,Second,31
THIS MODIFICATION IS FOR ELECTRIC SERVICES AND CORRECT OBJECT CLASS FROM 254011 TO 233041.,Second,32
THE PURPOSE OF MODIFICATION P00002 IS TO REIMBURSE COVID-19 CLEANING COSTS AT CYRIL E KING AIRPORT FOR A PERIOD BETWEEN 3/24/2020 THROUGH 6/2/21.,Second,33
THE PURPOSE OF MODIFICATION P00003 IS TO EXTEND THE PERIOD OF PERFORMANCE BY 12-MONTHS AND OBLIGATE FUNDING FOR PARKING SERVICES AT DENVER INTERNATIONAL AIRPORT (DEN).,Second,34
OTHER TRANSACTION AGREEMENT FOR THE PREDESIGN EFFORT FOR THE RECAPITALIZATION PROJECT AT DCA AIRPORT.,Second,35
THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT IS TO ESTABLISH THE TERMS AND CONDITIONS AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF ELECTRICAL COSTS AT GENERAL WAYNE A. DOWNING PEORIA INTERNATIONAL AIRPORT (PIA) FOR A PERIOD OF 9/1/21 - 8/31/22.,Second,36
"THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT IS TO ESTABLISH
THE TERMS AND CONDITIONS TO OBLIGATE FUNDING FOR ELECTRICAL
CONSUMPTION AT SAVANNAH INTERNATIONAL AIRPORT FOR A PERIOD
BETWEEN 9/1/21 THROUGH 8/31/22.",Second,37
"THE PURPOSE OF THIS OTA IS TO SUPPORT DALLAS-FORT WORTH INTERNATIONAL AIRPORT (DFW) ON THE INSTALLATION OF MSEDS UNITS IN FOUR TERMINALS A, B, C, AND D, THAT REQUIRE RECAPITALIZATION AT DFW.",Second,38
OTA FOR PREDESIGN EFFORT FOR THE RECAPITALIZATION OF THE MSEDS IN THE NORTH TERMINAL OF MIA.,Second,39
"OTHER TRANSACTION AGREEMENT TO SUPPORT CHECK POINT PROPERTY
SCREENING SYSTEM PROGRAM TESTING OF COMPUTED TOMOGRAPHY (BASE-SIZE CONFIGURATION)",Second,40
"THE PURPOSE OF THIS MODIFICATION IS TO UPDATE AN AIRPORT TESTING SITE, AT NO COST TO THE GOVERNMENT. ALL OTHER TERMS AND CONDITIONS REMAIN THE SAME.",Second,41
FACILITY MODIFICATION OTA TO SUPPORT RECAPITALIZATION AND OPTIMIZATION OF THE BAGGAGE SCREENING SYSTEMS AT GEORGE BUSH INTERCONTINENTAL AIRPORT (IAH) - TERMINAL A,Second,42
REIMBURSE THE FIXED ELECTRICAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE AREA AT QUINCY REGIONAL AIRPORT (UIN).,Second,43
REIMBURSEMENT OF FIXED ELECTRICAL COSTS FOR THE TRANSPORTATION SECURITY ADMINISTRATION (TSA) SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT SACRAMENTO INTERNATIONAL AIRPORT (SMF).,Second,44
THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT IS TO ESTABLISH THE TERMS AND CONDITIONS TO OBLIGATE FUNDING FOR FIXED ELECTRICAL COSTS AT MANCHESTER - BOSTON REGIONAL AIRPORT FOR A PERIOD OF 10/1/2021 - 9/30/2022.,Second,45
THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT IS TO ESTABLISH THE TERMS AND CONDITIONS TO OBLIGATE FUNDING FOR ELECTRICAL CONSUMPTION AT PUNTA GORDA AIRPORT FOR A PERIOD OF PERFORMANCE OF 10/1/2021 - 9/30/2022.,Second,46
EXTEND THE PERIOD OF PERFORMANCE OF OAT 70T01020T9NCKP016 FROM 01/01/2022 TO 12/31/2022AND FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS FOR THE TSA SECURITY CHECKPOINT AND BAGGAGE AREA AT BURBANK BOB-HOPE AIRPORT.,Second,47
"THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE TERM END DATE FROM AUGUST 29, 2021 TO FEBRUARY 28, 2023, AT NO ADDITIONAL COST TO THE GOVERNMENT.",Second,48
THE PURPOSE OF THIS AGREEMENT IS TO FORMALLY TEST AND EVALUATE THE QPL APPLICANT'S SCREENING SYSTEM IN ORDER TO DETERMINE IF THE PROPOSED SYSTEM MEETS TSA'S QUALIFICATION REQUIREMENTS.,Second,49
THIS IS AN OTA BETWEEN TSA AND ACAA TO SUPPORT REPLACEMENT OF FOUR (4) TECHNICALLY OBSOLETE ELECTRONIC DETECTION SYSTEMS (EDS) MACHINES AND ANCILLARY EQUIPMENT AT PITTSBURGH INTERNATIONAL AIRPORT (PIT).,Second,50
RECAPITALIZATION OF FOUR (4) CTX9000/9400 MEDIUM SPEED EXPLOSIVE DETECTION SYSTEMS (MSEDS) IN THE CHECKED BAGGAGE INSPECTION SYSTEM (CBIS) SERVING TERMINAL 5 AT LOS ANGELES INTERNATIONAL AIRPORT (LAX).,Second,51
THIS IS A FACILITY MODIFICATION OTA FOR THE TED STEVENS ANCHORAGE INTERNATIONAL AIRPORT (ANC) TO REPLACE FOUR (4) EXPLOSIVE DETECTION SYSTEMS (EDS) IN CONCOURSE B AND ONE (1) EDS IN THE NORTH TERMINAL AT THE CBIS.,Second,52
THE PURPOSE OF THIS AGREEMENT IS TO FORMALLY TEST AND EVALUATE THE QPL APPLICANTS SCREENING SYSTEM AS PART OF THE CHECKPOINT PROPERTY SCREENING SYSTEM.,Second,53
MAIN TERMINAL BUILDING INFRASTRUCTURE FOR THE TSA EXPLOSIVE DETECTION SYSTEMS LOCATED WITHIN THE CHECKED BAGGAGE INSPECTION SYSTEM AND SUPPORTS THE INSTALLATION OF THE NEW CHECKED BAGGAGE INSPECTION SYSTEM.,Second,54
FACILITY MODIFICATION PROJECT AT THE RALEIGH-DURHAM AIRPORT FOR CONSTRUCTION SERVICES FOR THE TSA REQUIRED UPGRADES TO THE SPEED EXPLOSIVES DETECTION SYSTEM UNITS THAT ARE PART OF THE CHECKED BAGGAGE INSPECTION SYSTEM AT TERMINALS D AND E.,Second,55
THIS OTA IS FOR THE FACILITY MODIFICATION PROJECT AT PHILADELPHIA INTERNATIONAL AIRPORT TO ENSURE THE AIRPORT IS ABLE TO SCREEN ALL CHECKED BAGGAGE WITH AN EXPLOSIVES DETECTION SYSTEM OR SUITABLE ALTERNATIVE AS FEDERALLY MANDATED.,Second,56
THE PURPOSE OF THIS COMBINED OTA IS TO SUPPORT CHICAGO OHARE INTERNATIONAL AIRPORT(ORD)ON THE REPLACEMENT OF 3 EXPLOSIVE DETECTION SYSTEM(EDS)UNITS.,Second,57
THIS IS A FACILITY MODIFICATION OTA FOR THE MISSOULA INTERNATIONAL AIRPORT (MSO) TO CONSTRUCT A NEW IN-LINE CHECKED BAGGAGE INSPECTION SYSTEM (CBIS) AT THE MAIN TERMINAL.,Second,58
NEW DESIGN OTA FOR JFK TERMINAL 5.,Second,59
"THIS IS A FACILITY MODIFICATION OTA FOR THE RECAPITALIZATION OF FIVE CTX9000/9400 MEDIUM SPEED EXPLOSIVE DETECTION SYSTEMS (MSEDS) IN TERMINALS A, B, AND C AT SPOKANE INTERNATIONAL AIRPORT (GEG).",Second,60
THIS IS A FACILITY MODIFICATION OTA FOR THE RECAPITALIZATION OF THE EXISTING IN-LINE CHECKED BAGGAGE INSPECTION SYSTEM AT SAIPAN INTERNATIONAL AIRPORT (GSN).,Second,61
DESIGN OTA FOR MELBOURNE INTERNATIONAL AIRPORT (MLB),Second,62
THE PURPOSE OF THIS OTA IS TO ESTABLISH THE RESPECTIVE COST-SHARING OBLIGATIONS AND RESPONSIBILITIES OF THE TSA AND THE CITY OF BURLINGTON WITH RESPECT TO THE DESIGN SERVICES NECESSARY TO CONSTRUCT AN INLINE CBIS UTILIZING EDS AT THE AIRPORT.,Second,63
FACILITY MODIFICATION OTA FOR THE RECAPITALIZATION OF THE EXISTING CHECKED BAGGAGE INSPECTION SYSTEM IN TERMINALS 2 AND 4.,Second,64
DESIGN OTA FOR CYRIL E. KING INTERNATIONAL AIRPORT (STT),Second,65
"FACILITY MODIFICATION OTA FOR THE RECAPITALIZATION OF THE EXISTING IN-LINE CHECKED BAGGAGE INSPECTION SYSTEM (CBIS) IN TERMINALS A, B, AND C AT DALLAS/FORT WORTH INTERNATIONAL AIRPORT.",Second,66
THE PURPOSE OF THIS NEW OTA IS TO DESIGN AND INSTALL A NEW IN-LINE CBIS AT PUNTA GORDA INTERNATIONAL AIRPORT (PGD).,Second,67
THE PURPOSE OF THIS OTA IS TO SUPPORT THE DESIGN OF A CHECK BAGGAGE INLINE SYSTEM (CIBS) AT BLUE GRASS AIRPORT (LEX).,Second,68
"FACILITY MODIFICATION OTA FOR THE CONSTRUCTION OF A NEW IN-LINE CHECKED BAGGAGE INSPECTION SYSTEM TIE-IN FOR TERMINAL 2, LOBBY 6 AT HNL.",Second,69
THE PURPOSE OF THIS FACMOD OTA IS TO SUPPORT JOHN F. KENNEDY INTERNATIONAL AIRPORT (JFK) ON THE RECAPITALIZATION AND OPTIMIZATION OF THE CHECKED BAGGAGE INSPECTION SYSTEMS (CBIS).,Second,70
THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT (OTA) IS TO AWARD A FACILITY MODIFICATION OTA TO DENVER INTERNATIONAL AIRPORT (DEN) FOR CONSTRUCTION SERVICES AT THE MAIN TERMINAL.,Second,71
COLLABORATION WITH THE MET OFFICE OF THE UNITED KINGDOM FOR WEATHER PRODUCTS AND WEATHER DATA FOR DEFENSE/METEOROLOGICAL RELATED ACTIVITIES.,Second,72
THIS IS A FACILITY MODIFICATION OTA TO SUPPORT THE CONSTRUCTION OF A NEW CHECKED BAGGAGE INSPECTION SYSTEM (CBIS) IN KANSAS CITY INTERNATIONAL AIRPORT (MCI) NEW TERMINAL.,Second,73
CLOSEOUT,Second,74
DESIGN SERVICES NECESSARY TO EVALUATE CHECKED BAGGAGE INSPECTION SYSTEM REFRESH AND OPTIMIZATION,Second,75
THIS A MODIFICATION TO AN EXISTING TSA OTHER TRANSACTION AGREEMENT WITH THE METROPOLITAN NASHVILLE AIRPORT AUTHORITY FOR THE PURPOSES OF INSTALLING AN INLINE BAGGAGE SCREENING SYSTEM TO THE AIRPORT TERMINAL WHICH INVOLVES MODIFICATIONS TO THE EXISTING BUILDING INFRASTRUCTURE AND BAGGAGE HANDLING SYSTEM.,Second,76
CONSTRUCTION OF MODIFICATIONS NEEDING TO BE MADE TO THE AIRPORT TERMINAL BUILDING AND ITS HAGGAGE HANDLING SYSTEMS IN ORDER FOR THE TSA TO INSERT EXPLOSIVE DETECTION SYSTEM UNITS INTO THE CHECKED BAGGAGE INSPECTION SYSTEM (CBIS) FOR AN AUTOMATED BAGGAGE INSPECTION SYSTEM.,Second,77
MODIFICATION TO CHANGE THE PLANNING GUIDELINES AND DESIGN STANDARDS REQUIREMENT FROM VERSION 2.0 TO VERSION 3.0.,Second,78
"DESIGN AND IMPLEMENTATION OF MODIFICATIONS TO THE BAGGAGE HANDLNG SYSTEM AT THE SAN FRANCISCO INTERNAITONAL AIRPORT TERMINALS TO INCLUDE CROSSOVERS, MAINTENANCE ACCESS, CRANE HOISTS AND LIGHTING TO SUPPORT A SAFER WORK ENVIRONMENT FOR TSA CHECKED BAGGAGE INSPECTION SYSTEM OPERATIONS.",Second,79
DESIGN AND CONSTRUCTION OF MODIFICATIONS NEEDED TO BE MADE TO THE AIRPORT TERMINAL BUILDING AND BAGGAGE HANDLING SYSTEM IN ORDER FOR TSA TO INSERT AN EXPLOSIVE DETECTION SYSTEM UNITS INTO THE CHECKED BAGGAGE INSPECTION SYSTEM FOR AN AUTOMATED INLINE BAGGAGE SCREENING SYSTEM SOLUTION.,Second,80
IMPLEMENTATION OF HARDWARE/SOFTWARE MODIFICATIONS TO BE MADE TO THE EXISTING CHECKED BAGAGGE INSPECTION SYSTEM AND BAGGAGE CONVEYOR SYSTEM AT TERMINAL A OF THE SACRAMENTO INTERNATIONAL AIRPORT.,Second,81
A&E DESIGN OF AN INLINE CHECKED BAGGAGE INSPECTION SYSTEM TO BE INSTALLED IN THE GERALD R FORD INTERNATIONAL AIRPORT TERMINAL BUILDING. THE EFFORT WILL INVOLVE MODIFICATIONS TO THE EXISTING BAGGAGE CONVEYOR SYSTEM AND AIRPORT TEMRMINAL BUIDLING INFRASTRUCTURE IN ORDER FOR THE TSA TO INSERT AN AUTOMATED INLINE CHECKED BAGGAGE INSPECTION SYSTEM.,Second,82
THE PURPOSE OF THIS MODIFICATION P00001 IS TO EXTEND THE PERIOD OF PERFORMANCE TO 03/31/2012.,Second,83
PERIOD OF PERFORMANCE EXTENSION FOR EDS INSTALLATION FOR CBIS AT LGA TERMINALS D AND E.,Second,84
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 8/28/12.,Second,85
"THE PURPOSE OF MODIFICATION P00001 TO HSTS04-11-H-CT1004 IS TO EXTEND THE PERIOD OF PERFORMANCE TO AUGUST 31, 2012 FROM DECEMBER 31, 2011.",Second,86
ADMIN MOD TO PHL OTA FOR PGDS COMPLIANCE ISSUES.,Second,87
"MODIFICATION TO EXTEND THE PERIOD OF PERFORMANCE OF THE OTHER TRANSACTION AGREEMENT UNTIL SEPTEMBER 30, 2012 AT NO ADDITIONAL COST TO THE GOVERNMENT.",Second,88
"THE OTHER TRANSACTION AGREEMENT (OTA) WITH CHICAGO DEPARTMENT OF AVIATION PROVIDES FUNDING TO ENHANCE THE CHECKED BAGGAGE INSPECTION SYSTEM (CBIS) AT CHICAGO INTERNATIONAL AIRPORT.  THE PROJECT INVOLVES SIGNIFICANT MODIFICATIONS TO THE EXISTING CBIS AT TERMINAL 1, 3, AND 5 TO ENHANCE SECURITY AND EFFICIENCY OF BAGGAGE SCREENING IN ACCORDANCE WITH THE TSA PLANNING GUIDELINES AND DESIGN STANDARDS (PGDS) VERSION 4.0.",Second,89
PERIOD OF PERFORMANCE EXTENSION FOR THE CHECKED BAGGAGE INSPECTION SYSTEM EXPLOSIVE DETECTION PROJECT AT COLUMBUS REGIONAL AIRPORT.,Second,90
"THE PURPOSE OF THIS MODIFICATION P00002 IS TO EXTEND THE PERIOD OF PERFORMANCE TO DECEMBER 31, 2012.",Second,91
"THE PURPOSE OF MODIFICATION P00002 TO HSTS04-11-H-CT1004 IS TO EXTEND THE PERIOD OF PERFORMACE TO DECEMBER 31,2012 FROM AUGUST 31,2012.",Second,92
UNILATERAL ADMINISTRATIVE CHANGE TO UPDATE POINT OF CONTACT INFORMATION FOR TSA CONTRACTING OFFICER AND TSA CONTRACTING OFFICER'S REPRESENTATIVE.,Second,93
DESIGN AND CONSTRUCTION ASSISTANCE TO SUPPORT NEW AIRPORT TERMINAL WHICH INCLUDES BAGGAGE HANDLING SYSTEM WHICH TSA WILL INSERT EXPLOSIVE DETECTION SYSTEM UNITS INTO THE CHECKED BAGGAGE INSPECTION SYSTEM (CBIS) TO COMPLY WITH AND CARRY OUT THE MISSION OF THE TSA.,Second,94
TO PROVIDE FUNDING TO BURBANK-GLENDALE-PASADENA AIRPORT AUTHOIRTY TO MODIFY THREE CHECKED BAGGAGE RESOLUTION AREAS (CBRAS) AT BOB HOPE AIRPORT (BUR).,Second,95
ADDITIONAL FUNDING TO BRING THE PROJECTED CHECKED BAGGAGE INSPECTIONS SYSTME AT TERMINAL 1 OF THE CHICAGO O'HARE INTERNATIONAL AIRPORT INTO COMPLIANCE WITH THE TSA PLANNING GUIDELINES AND DESIGN STANDARDS.  REQUIRES MODIFICATION TO EXSITING TERMINAL 1 BUILDING AND BAGGAGE HANDLING SYSTEM.,Second,96
"OTHER TRANSACTION AGREEMENT BETWEEN TSA AND THE MINNEAPOLIS-MACS TO PROVIDE FUNDING TO DESIGN AND MODIFY AN EXISTING IN-LINE SYSTEM AT THE MINNEAPOLIS-ST. PAUL AIRPORT, LINDBERGH TERMINAL.",Second,97
"THE PURPOSE OF MODIFICATION P00003 TO HSTS04-11-H-CT1004 IS TO EXTEND THE PERIOD OF PERFORMACE TO MARCH 31,2013 FROM DECEMBER 31,2012, CHANGE THE CONTRACTING OFFICER AND CONTRACTING OFFICER'S TECHNICAL REPRESENTATIVE, AND AMEND PAYMENT INFORMATION.",Second,98
THE PURPOSE OF THIS MODIFICATION P00001 IS TO CHANGE THE CO AND COTR INFORMATION.,Second,99
"THE PURPOSE OF THIS MODIFICATION P00001 IS TO ESTABLISH THE BEGINNING DATE TO RECOGNIZE REIMBURSABLE COST FOR THE TSA PROJECT AS JUNE 1, 2010.",Second,100
THE PURPOSE OF THIS MODIFICATION P0002 IS TO CHANGE THE CO AND COTR INFORMATION.,Second,101
"THE PURPOSE OF THIS MODIFICATION P00007 TO THIS OTHER TRANSACTION AGREEMENT IS TO: (1)
INCREASE THE TOTAL ESTIMATED VALUE OF THE COST SHARING AGREEMENT FROM $39,086,183.00 TO
$51,365,938.28, INCREASE THE TOTAL ESTIMATED GOVERNMENT COST SHARING CONTRIBUTION FROM
$24,908,413.00 TO $29,043,269.41, AND INCREASE THE TOTAL ESTIMATED CONTRACTOR COST SHARING
CONTRIBUTION FROM $14,177,770.00 TO $22,322,668.87; (2) OBLIGATE $3,015,801.00 AS PARTIAL FUNDING FOR OPTION 3; AND (3) INCORPORATE REVISED TEXT FOR ARTICLE IV. B. SCHEDULE OF PAYMENTS AND PAYABLE MILESTONES DATED AUGUST 31, 2011.",Second,102
THIS OTA ESTABLISHES THE RESPECTIVE COST-SHARING OBLIGATIONS OF THE TSA AND THE RTAA WITH RESPECT TO THE CONSTRUCTION PROJECT FOR THE NEW CENTRALIZED SECURITY SCREENING CHECKPOINT AT RNO. THE OBJECTIVE OF THE PROJECT IS TO ENHANCE AIRPORT SECURITY AND CHECKPOINT SCREENING CAPABILITIES AND PROVIDE TSA WITH A FACILITY THAT WILL FUNCTION AS A TEST BED LOCATION FOR FUTURE SECURITY EQUIPMENT TESTING PROJECTS.,Second,103
CLOSEOUT MODIFICATION.,Second,104
MODIFICATION P00001 IS ISSUED TO EXTEND THE PERIOD OF PERFORMANCE TO ALLOW FOR TESTING AND ACCEPTANCE AT BIRMINGHAM SHUTTLESWORTH INTERNATIONAL AIRPORT.  THIS MODIFICATION ALSO CHANGES THE TSA POINTS OF CONTACT.,Second,105
THE PURPOSE OF THIS MODIFICATION TO CHANGE THE CO AND COTR INFORMATION,Second,106
DESIGN SERVICES NECCESSARY TO PLACE NEW EXPLOSIVE DETECTION SYSTEMS (EDS) IN TSA CHECKED BAGGAGE INSPECTION SYSTEMS IN THE TERMINALS OF THE SAN FRANCISCO INTERNATIONAL AIRPORT,Second,107
DESIGN AND CONSTRUCTION MODIFICATIONS NEEDED TO BE MADE TO THE AIRPORT TERMINAL BUILDING AND BAGGAGE HANDLING SYSTEM IN ORDER FOR TSA TO INSERT THE EXPLOSIVE DETECTION SYSTEM UNITS INTO THE CHECKED BAGGAGE INSPECTION SYSTEM.  TSA IS PROVIDING FINANCIAL ASSISTANCE TO EXPAND THE TERMINAL SO THAT THE CBIS CAN BE INSTALLED IN ACCORDANCE WITH TSA'S MISSION.,Second,108
OTA FOR MFE FOR IMPROVED SCREENING AT THIS AIRPORT.,Second,109
OTHER TRANSACTION AGREEMENT TO PROVIDE DESIGN ENGINEERING SERVICES FUNDING TO CLEVELAND HOPKINS INTERNATIONAL AIRPORT FOR THE EVALUATION OF THE REMOVAL AND REPLACEMENT OF EXPLOSIVE DETECTION SYSTEMS.,Second,110
OTHER TRANSACTION AGREEMENT FUNDING WITH THE CITY OF MANCHESTER TO PROVIDE DESIGN AND ENGINEERING SERVICES TO EVALUATE THE REMOVAL AND REPLACEMENT OF EXPLOSIVE DETECTION EQUIPMENT AT MANCHESTER BOSTON REGIONAL AIRPORT.,Second,111
