"principalnaicscode","principalnaicscodeText","NAICS_ShortHand","Action_Obligation_OMB20_GDP20"
333298,"All Other Industrial Machinery Manufacturing","",1269079.46262484
333311,"Automatic Vending Machine Manufacturing","",12638.2502796073
333313,"Office Machinery Manufacturing","",408340.758780753
333314,"Optical Instrument and Lens Manufacturing","",166594.078768898
333315,"Photographic and Photocopying Equipment Manufacturing","",1459448.57653974
333316,"Photographic and Photocopying Equipment Manufacturing","",669046.770719205
333318,"Other Commercial and Service Industry Machinery Manufacturing","",470552.504424779
333319,"Other Commercial and Service Industry Machinery Manufacturing","",160901.832955892
333411,"Air Purification Equipment Manufacturing","",103525.187859623
333415,"Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment","",15393052.8632994
333511,"Industrial Mold Manufacturing","",-4862.6817447496
333512,"Machine Tool (Metal Cutting Types) Manufacturing","",151536.01103872
333515,"Cutting Tool and Machine Tool Accessory Manufacturing","",15625.8234519104
333517,"Machine Tool Manufacturing","",453763.26852459
333518,"Other Metalworking Machinery Manufacturing","",311571.629905829
333611,"Turbine and Turbine Generator Set Units Manufacturing","",78581.5171070254
333613,"Mechanical Power Transmission Equipment Manufacturing","",386367.064724651
333911,"Pump and Pumping Equipment Manufacturing","",6062.80454791554
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing","",84498
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing","",573932.862708087
333991,"Power-Driven Handtool Manufacturing","",2125.22293306824
333993,"Packaging Machinery Manufacturing","",20412.5636868742
333999,"All Other Miscellaneous General Purpose Machinery Manufacturing","",899608.826674501
334111,"Electronic Computer Manufacturing","",2429610817.22801
334112,"Computer Storage Device Manufacturing","",113646313.243587
334113,"Computer Terminal Manufacturing","",24097923.8048132
334118,"Computer Terminal and Other Computer Peripheral Equipment Manufacturing","",13279626.2355856
334119,"Other Computer Peripheral Equipment Manufacturing","",124869655.109639
334210,"Telephone Apparatus Manufacturing","",438065342.119001
334220,"Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","",380429388.57653
334290,"Other Communications Equipment Manufacturing","",113226947.09223
334310,"Audio and Video Equipment Manufacturing","",28552623.0737759
334412,"Bare Printed Circuit Board Manufacturing","",615566.271982119
334413,"Semiconductor and Related Device Manufacturing","",1596772.87688022
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","",424876.131853306
334417,"Electronic Connector Manufacturing","",196285783.745172
334418,"Printed Circuit Assembly (Electronic Assembly) Manufacturing","",2359179.4048224
334419,"Other Electronic Component Manufacturing","",2840321.37799393
334510,"Electromedical and Electrotherapeutic Apparatus Manufacturing","",4127.68015276286
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","334511 Aero. & Nautical System & Instr. Manufacturing",12786896.1104594
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use","",3764959.2665899
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","",7614385.65561255
334515,"Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals","",10206583.1378491
334516,"Analytical Laboratory Instrument Manufacturing","",1016250.9116887
334517,"Irradiation Apparatus Manufacturing","",208630
334518,"Watch, Clock, and Part Manufacturing","",4210.26469491736
334519,"Other Measuring and Controlling Device Manufacturing","",32552399.6041723
334611,"Software Reproducing","",107646736.287418
334612,"Prerecorded Compact Disc (Except Software), Tape, and Record Reproducing","",11463.6711846556
334613,"Blank Magnetic and Optical Recording Media Manufacturing","",5971559.97814178
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","",65173.3063242903
335110,"Electric Lamp Bulb and Part Manufacturing","",21378.2270105851
335121,"Residential Electric Lighting Fixture Manufacturing","",514753.946976934
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","",234861.03910464
335129,"Other Lighting Equipment Manufacturing","",44385.4899837574
335228,"Other Major Household Appliance Manufacturing","",7414.33488952286
335311,"Power, Distribution, and Specialty Transformer Manufacturing","",25022615.1186831
335312,"Motor and Generator Manufacturing","",714307.38516207
335313,"Switchgear and Switchboard Apparatus Manufacturing","",4548357.22453668
335314,"Relay and Industrial Control Manufacturing","",59387.724285326
335911,"Storage Battery Manufacturing","",3268791.97037381
335912,"Primary Battery Manufacturing","",498152.339899331
335921,"Fiber Optic Cable Manufacturing","",14244410.9913799
335929,"Other Communication and Energy Wire Manufacturing","",688934.179954029
335931,"Current-Carrying Wiring Device Manufacturing","",606501.351800598
335932,"Noncurrent-Carrying Wiring Device Manufacturing","",116186.31814899
335999,"All Other Miscellaneous Electrical Equipment and Component Manufacturing","",12186027.7350684
336111,"Automobile Manufacturing","",83032.4807855749
336112,"Light Truck and Utility Vehicle Manufacturing","",113630.888755308
336211,"Motor Vehicle Body Manufacturing","",201155.822604198
336212,"Truck Trailer Manufacturing","",162744.451617775
336310,"Motor Vehicle Gasoline Engine and Engine Parts Manufacturing","",4081216.20242832
336320,"Motor Vehicle Electrical and Electronic Equipment Manufacturing","",48177.7094810299
336322,"Other Motor Vehicle Electrical and Electronic Equipment Manufacturing","",21127.8285989408
336399,"All Other Motor Vehicle Parts Manufacturing","",69223.3850941195
336413,"Other Aircraft Parts and Auxiliary Equipment Manufacturing","336413 Other Aircraft Parts Equip. Manuf.",400125.643596114
336991,"Motorcycle, Bicycle, and Parts Manufacturing","",16001.1016222834
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing","336992 Mil. Armored Veh. & Component Manufacturing",122347.558953213
336999,"All Other Transportation Equipment Manufacturing","",31291.4903129274
337122,"Nonupholstered Wood Household Furniture Manufacturing","",3054356.68683029
337124,"Metal Household Furniture Manufacturing","",18718.2291500743
337125,"Household Furniture (except Wood and Metal) Manufacturing","",19348.3231889247
337127,"Institutional Furniture Manufacturing","",1055495.42905843
337211,"Wood Office Furniture Manufacturing","",2376727.78340096
337214,"Office Furniture (except Wood) Manufacturing","",26514871.7653934
337215,"Showcase, Partition, Shelving, and Locker Manufacturing","",15391591.2418297
337920,"Blind and Shade Manufacturing","",19027.9767997245
339111,"Laboratory Apparatus and Furniture Manufacturing","",159758.818743641
339112,"Surgical and Medical Instrument Manufacturing","",79443.2872023897
339113,"Surgical Appliance and Supplies Manufacturing","",55060.1380592901
339914,"Costume Jewelry and Novelty Manufacturing","",31823.6066356367
339920,"Sporting and Athletic Goods Manufacturing","",1023547.14781683
339930,"Doll, Toy, and Game Manufacturing","",136.95
339940,"Office Supplies (except Paper) Manufacturing","",40399.2284699326
339943,"Marking Device Manufacturing","",-3660.0790513834
339944,"Carbon Paper and Inked Ribbon Manufacturing","",2345020.71914543
339950,"Sign Manufacturing","",2553517.58920666
339991,"Gasket, Packing, and Sealing Device Manufacturing","",8953.95567803422
339994,"Broom, Brush, and Mop Manufacturing","",12195.592694623
339999,"All Other Miscellaneous Manufacturing","",723729.839144544
421420,"Office Equipment Wholesalers","",-179750.849377123
421430,"Computer and Computer Peripheral Equipment and Software Wholesalers","",218042743.790775
421440,"Other Commercial Equipment Wholesalers","",80109.0033975085
421610,"Electrical Apparatus and Equipment, Wiring Supplies, and Construction Material Wholesalers","",321997.213878904
421690,"Other Electronic Parts and Equipment Wholesalers","",13994812.33921
421710,"Hardware Wholesalers","",327013.023782559
422120,"Stationery and Office Supplies Wholesalers","",3213427.33130486
423110,"Automobile and Other Motor Vehicle Merchant Wholesalers","",275691.198496662
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","",326960.272330553
423210,"Furniture Merchant Wholesalers","",41952449.265555
423220,"Home Furnishing Merchant Wholesalers","",34082.4262156957
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","",3196.94462551605
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers","",17746.9428261916
423390,"Other Construction Material Merchant Wholesalers","",4471.60687338393
423410,"Photographic Equipment and Supplies Merchant Wholesalers","",764954.988238207
423420,"Office Equipment Merchant Wholesalers","",6374762.56243698
423430,"Computer and Computer Peripheral Equipment and Software Merchant Wholesalers","",619066393.031276
423440,"Other Commercial Equipment Merchant Wholesalers","",459862.244195965
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers","423450 Medical Equipment &  Supplies Wholesalers",6176.99115044248
423490,"Other Professional Equipment and Supplies Merchant Wholesalers","",3446162.27178284
423510,"Metal Service Centers and Other Metal Merchant Wholesalers","",13275.5152207958
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers","",4282555.60317643
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers","",449224.595575025
423690,"Other Electronic Parts and Equipment Merchant Wholesalers","",5726391.29986123
423710,"Hardware Merchant Wholesalers","",976147.218598025
423730,"Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers","",6911.19691119691
423740,"Refrigeration Equipment and Supplies Merchant Wholesalers","",8695.54839479651
423830,"Industrial Machinery and Equipment Merchant Wholesalers","",422795.586237829
423840,"Industrial Supplies Merchant Wholesalers","",439152.575512007
423860,"Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers","",432147.847051459
423910,"Sporting and Recreational Goods and Supplies Merchant Wholesalers","",67253.3185840708
423990,"Other Miscellaneous Durable Goods Merchant Wholesalers","",8196106.4537227
424110,"Printing and Writing Paper Merchant Wholesalers","",42056.4456097364
424120,"Stationery and Office Supplies Merchant Wholesalers","",1105320.42628043
424130,"Industrial and Personal Service Paper Merchant Wholesalers","",34739.9550813164
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers","",39364.4963987069
424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers","",4431.37943137943
424690,"Other Chemical and Allied Products Merchant Wholesalers","",590.282092705356
424920,"Book, Periodical, and Newspaper Merchant Wholesalers","",46323.7580835696
425110,"Business to Business Electronic Markets","",46224.7353368722
425120,"Wholesale Trade Agents and Brokers","",8830.0395256917
441110,"New Car Dealers","",7124.62666304643
441229,"All Other Motor Vehicle Dealers","",300268.096514745
441310,"Automotive Parts and Accessories Stores","",379101.026540185
442110,"Furniture Stores","",221684.096122633
442210,"Floor Covering Stores","",6580.46061361606
442299,"All Other Home Furnishings Stores","",17296.7810380494
443111,"Household Appliance Stores","",41826049.9800721
443112,"Radio, Television, and Other Electronics Stores","",812337.098665203
443120,"Computer and Software Stores","",1182998960.81926
443130,"Camera and Photographic Supplies Stores","",96623.5375082325
443142,"Electronics Stores","",13140.9836065574
444110,"Home Centers","",1243.99
444130,"Hardware Stores","",3241301.05200543
444190,"Other Building Material Dealers","",58920.7628680661
444210,"Outdoor Power Equipment Stores","",43649.2318892469
452990,"All Other General Merchandise Stores","",744961.511163102
453210,"Office Supplies and Stationery Stores","",10768644.7810362
453220,"Gift, Novelty, and Souvenir Stores","",0
453920,"Art Dealers","",26950.7226028965
453998,"All Other Miscellaneous Store Retailers (except Tobacco Stores)","",66840.3813028425
454111,"Electronic Shopping","",29643.690569154
454113,"Mail-Order Houses","",61063.2989349796
454390,"Other Direct Selling Establishments","",14853.9828507518
481112,"Scheduled Freight Air Transportation","",5315.90016814345
482111,"Line-Haul Railroads","",5086.88569101276
484110,"General Freight Trucking, Local","",8687.6037278182
484121,"General Freight Trucking, Long-Distance, Truckload","",833371.46632691
484122,"General Freight Trucking, Long-Distance, Less Than Truckload","",544927.811088363
484210,"Used Household and Office Goods Moving","",4905942.04401389
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance","",2103737.21201794
485111,"Mixed Mode Transit Systems","",11454334.2418023
485113,"Bus and Other Motor Vehicle Transit Systems","",5032.93152727725
485310,"Taxi Service","",9653527.31048033
485999,"All Other Transit and Ground Passenger Transportation","",1224431.82948099
488190,"Other Support Activities for Air Transportation","",4380675.31508501
488510,"Freight Transportation Arrangement","",675192.709200745
488991,"Packing and Crating","",410840.821566999
491110,"Postal Service","",4225.00913186412
492110,"Couriers and Express Delivery Services","",1396010.17352902
492210,"Local Messengers and Local Delivery","",12368.4137217972
493110,"General Warehousing and Storage","",8780634.70950554
493190,"Other Warehousing and Storage","",1003115.56600798
511110,"Newspaper Publishers","",104979.668329322
511120,"Periodical Publishers","",3189814.71726025
511130,"Book Publishers","",90022.9176401493
511140,"Directory and Mailing List Publishers","",52886.5441253713
511199,"All Other Publishers","",7619226.4326963
511210,"Software Publishers","",3973043787.194
512110,"Motion Picture and Video Production","",6265413.98884699
512191,"Teleproduction and Other Postproduction Services","",24689901.22071
512199,"Other Motion Picture and Video Industries","",76051.9926423857
512210,"Record Production","",44983.6723660564
512290,"Other Sound Recording Industries","",4821831.98569094
513220,"Cable and Other Program Distribution","",11151340.6002265
513310,"Wired Telecommunications Carriers","",2124528891.46325
513322,"Cellular and Other Wireless Telecommunications","",14172976.1423651
513330,"Telecommunications Resellers","",2740017268.97801
513340,"Satellite Telecommunications","",215550481.058232
513390,"Other Telecommunications","",128207550.962627
514191,"On-Line Information Services","",22772243.7712344
514199,"All Other Information Services","",2129531.11567806
514210,"Data Processing Services","",1663807073.36477
515111,"Radio Networks","",47160.4596125648
515120,"Television Broadcasting","",47540.3770878686
515210,"Cable and Other Subscription Programming","",1541515.78912732
516110,"Internet Publishing and Broadcasting","",10881.0298377847
517110,"Wired Telecommunications Carriers","",23509910561.2312
517210,"Wireless Telecommunications Carriers (except Satellite)","",391693636.243967
517211,"Paging","",542230.354625208
517212,"Cellular and Other Wireless Telecommunications","",9337556.93829461
517310,"Telecommunications Resellers","",206739552.206265
517311,NA,"",454917759.230573
517312,NA,"",17168789.8384325
517410,"Satellite Telecommunications","",6516427726.75268
517510,"Cable and Other Program Distribution","",26456.6929133858
517910,"Other Telecommunications","",561050509.522254
517911,"Telecommunications Resellers","",170481739.431881
517919,"All Other Telecommunications","",417479977.294966
518111,"Internet Service Providers","",41192260.1907838
518210,"Data Processing, Hosting, and Related Services","",507334121.545465
519110,"News Syndicates","",8547.78263585259
519120,"Libraries and Archives","",63111.3306343632
519130,"Internet Publishing and Broadcasting and Web Search Portals","",4164166.62560858
519190,"All Other Information Services","",3253858.72025839
522190,"Other Depository Credit Intermediation","",4606.06060606061
522220,"Sales Financing","",5573.5056542811
522390,"Other Activities Related to Credit Intermediation","",34469.5518958254
523991,"Trust, Fiduciary, and Custody Activities","",207153.32786626
523999,"Miscellaneous Financial Investment Activities","",104224.160432385
525930,"Real Estate Investment Trusts","",53324.4987377809
525990,"Other Financial Vehicles","",392427.359933268
531120,"Lessors of Nonresidential Buildings (except Miniwarehouses)","",65107.0404519253
531130,"Lessors of Miniwarehouses and Self-Storage Units","",2579.41895194135
531190,"Lessors of Other Real Estate Property","",70945.2088864575
531390,"Other Activities Related to Real Estate","",219422.65271444
532112,"Passenger Car Leasing","",141391.114569411
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing","",447053.980983233
532292,"Recreational Goods Rental","",4696.67790081849
532299,"All Other Consumer Goods Rental","",43689.2114826178
532310,"General Rental Centers","",4706.1701873732
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing","",170923.141342424
532420,"Office Machinery and Equipment Rental and Leasing","",86826557.858245
532490,"Other Commercial and Industrial Machinery and Equipment Rental and Leasing","",2575386.09064857
541110,"Offices of Lawyers","",27839987.585591
541199,"All Other Legal Services","",546050.446872319
541211,"Offices of Certified Public Accountants","",19174712.3347908
541214,"Payroll Services","",156805832.59303
541219,"Other Accounting Services","",69947320.4980714
541330,"Engineering Services","541330 Engineering Services",3119389060.64867
541360,"Geophysical Surveying and Mapping Services","",5801307.37198449
541370,"Surveying and Mapping (except Geophysical) Services","",1076587.8917552
541380,"Testing Laboratories","",61740264.0256532
541410,"Interior Design Services","",75970.3662167488
541420,"Industrial Design Services","",6403.53982300885
541430,"Graphic Design Services","",2063982.18155224
541490,"Other Specialized Design Services","",53434.8616895502
541511,"Custom Computer Programming Services","",4048089286.96273
541512,"Computer Systems Design Services","",11184021771.2738
541513,"Computer Facilities Management Services","",1937712634.18286
541519,"Other Computer Related Services","",19934310834.9098
541611,"Administrative Management and General Management Consulting Services","",855338827.092814
541612,"Human Resources Consulting Services (2007), Human Resources and Executive Search Consulting Services (2002)","",344674.794018534
541613,"Marketing Consulting Services","",4080613.70004376
541614,"Process, Physical Distribution, and Logistics Consulting Services","",24359783.8884168
541618,"Other Management Consulting Services","",717149681.300767
541620,"Environmental Consulting Services","",3191812.63271489
541690,"Other Scientific and Technical Consulting Services","",180438505.168275
541710,"Research and Development In The Physical, Engineering, and Life Sciences","54171* R&D in the Phys., Eng., & Life Sciences",801911780.408858
541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)","54171* R&D in the Phys., Eng., & Life Sciences",8752609728.99588
541713,"Research and Development in Nanotechnology","",2332042.47345409
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)","",736513.3438
541720,"Research and Development in the Social Sciences and Humanities","",32938.0764163373
541820,"Public Relations Agencies","",929393.372133905
541840,"Media Representatives","",10766.9718343765
541860,"Direct Mail Advertising","",18598.9682324192
541890,"Other Services Related to Advertising","",219435.866381454
541910,"Marketing Research and Public Opinion Polling","",85761.0391696759
541930,"Translation and Interpretation Services","",3548729.05792758
541990,"All Other Professional, Scientific, and Technical Services","",90295116.1098742
561110,"Office Administrative Services","",10409744.2183902
561210,"Facilities Support Services","",159973939.008411
561320,"Temporary Help Services","",1107605.14172056
561410,"Document Preparation Services","",1079047.73020876
561421,"Telephone Answering Services","",140927.129856988
561439,"Other Business Service Centers (including Copy Shops)","",52845869.7560928
561450,"Credit Bureaus","",1921180.37692483
561492,"Court Reporting and Stenotype Services","",28433.6435328003
561499,"All Other Business Support Services","",26340513.562364
561611,"Investigation Services","",702493.447355541
561612,"Security Guards and Patrol Services","",122898317.578528
561621,"Security Systems Services (except Locksmiths)","",78805648.4584426
561622,"Locksmiths","",163187.731383133
561710,"Exterminating and Pest Control Services","",13249.5753494541
561720,"Janitorial Services","",25967693.8040596
561730,"Landscaping Services","",825314.027854117
561740,"Carpet and Upholstery Cleaning Services","",111384.528593071
561790,"Other Services to Buildings and Dwellings","",806900.87704036
561910,"Packaging and Labeling Services","",828737.237630508
561920,"Convention and Trade Show Organizers","",2281693.2820878
561990,"All Other Support Services","",42614639.6867037
562111,"Solid Waste Collection","",324.987963408763
562119,"Other Waste Collection","",28485.8013750173
562910,"Remediation Services","",50525.4981705777
611210,"Junior Colleges","",7095570.05580263
611310,"Colleges, Universities, and Professional Schools","",10227358.6771347
611420,"Computer Training","",259086919.582433
611430,"Professional and Management Development Training","",39493062.7105364
611519,"Other Technical and Trade Schools","",220962.814889248
611699,"All Other Miscellaneous Schools and Instruction","",75067.524020878
611710,"Educational Support Services","",8290733.27037408
621399,"Offices of All Other Miscellaneous Health Practitioners","",697054.77116488
624310,"Vocational Rehabilitation Services","",9983.84491114701
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures","",11463461.3347461
713910,"Golf Courses and Country Clubs","",4823.31342301804
713940,"Fitness and Recreational Sports Centers","",508435.17462252
721110,"Hotels (except Casino Hotels) and Motels","",2384087.81546297
721120,"Casino Hotels","",5317.65531765532
721199,"All Other Traveler Accommodation","",222425.969692757
722310,"Food Service Contractors","",20147.9302528822
722320,"Caterers","",29645.6521570643
811111,"General Automotive Repair","",47928.3346484744
811113,"Automotive Transmission Repair","",11453.3782509639
811118,"Other Automotive Mechanical and Electrical Repair and Maintenance","",37589.8095785634
811121,"Automotive Body, Paint, and Interior Repair and Maintenance","",166260.952615214
811198,"All Other Automotive Repair and Maintenance","",24885.1308232291
811211,"Consumer Electronics Repair and Maintenance","",501068.636785073
811212,"Computer and Office Machine Repair and Maintenance","",335293723.413282
811213,"Communication Equipment Repair and Maintenance","",80314248.4828756
811219,"Other Electronic and Precision Equipment Repair and Maintenance","",8081246.82419109
811310,"Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance","",265850973.224856
811412,"Appliance Repair and Maintenance","",434016.119255943
