"ProductOrServiceCode","ProductOrServiceCodeText","ProductServiceOrRnDarea","ProductServiceOrRnDarea.sum","Commercial","Unlabeled","Not IT","Non-Commercial","Non-Developmental","NA"
"3690","SPECIAL AMMUNITION & ORDNANCE MACH","Other","Products (All)",NA,-751.139754147273,3640.05251223296,NA,NA,NA
"3693","INDUSTRIAL ASSEMBLY MACHINES","Other","Products (All)",NA,NA,74611.5420869916,NA,NA,NA
"3694","CLEAN WORK STATIONS ENVIRONMENT EQ","Other","Products (All)",NA,NA,13280.7257362992,NA,NA,NA
"3695","MISC SPECIAL INDUSTRY MACHINE","Other","Products (All)",5465.33895059364,177936.003499939,62259.8068443204,NA,NA,NA
"3825","ROAD CLEARING & CLEANING EQ","Other","Products (All)",NA,12212.5517584193,194947.982867551,NA,NA,NA
"3830","TRUCK AND TRACTOR ATTACHMENTS","Other","Products (All)",NA,NA,159490.943160525,NA,NA,NA
"3895","MISC CONTRUCT EQ","Other","Products (All)",0,0,250988.9118452,NA,NA,NA
"3920","MAT HANDLING EQ - NONSELF-PROPELLED","Other","Products (All)",NA,10471.3820612958,457684.410544461,NA,NA,NA
"3930","WAREHOUSE TRKS & TRACTORS SELF-PROP","Other","Products (All)",43926.2908622909,41610.5380887287,447283.941091431,NA,NA,NA
"3990","MISC MATERIALS HANDLING EQ","Other","Products (All)",60975.9488391492,53640.1900543409,755817.420334952,NA,NA,NA
"4030","FITTINGS FOR ROPE, CABLE, AND CHAIN","Other","Products (All)",NA,414204.416761042,4258.92137592138,NA,NA,NA
"4110","REFRIGERATION EQUIPMENT","Other","Products (All)",NA,NA,37125.7193227806,NA,NA,NA
"4120","AIR CONDITIONING EQUIPMENT","Other","Products (All)",NA,8525.44247787611,20363920.5138385,NA,NA,NA
"4130","REFRIGERATION & AIR CONDITION COMP","Other","Products (All)",15082.0109562397,NA,2169599.42320916,NA,NA,NA
"4140","FANS AIR CIRCULATORS & BLOWER EQ","Other","Products (All)",9306.57518568124,NA,53638.5131291164,NA,NA,NA
"4210","FIRE FIGHTING EQUIPMENT","Other","Products (All)",NA,NA,24846.1948023822,NA,NA,NA
"4240","SAFETY AND RESCUE EQUIPMENT","Other","Products (All)",NA,NA,256874.576243656,NA,NA,NA
"4310","COMPRESSORS AND VACUUM PUMPS","Other","Products (All)",NA,NA,4846.52665589661,NA,NA,NA
"4410","INDUSTRIAL BOILERS","Other","Products (All)",NA,52077.109664241,3079.2799693604,NA,NA,NA
"4460","AIR PURIFICATION EQUIPMENT","Ships","Products (All)",NA,NA,10138.1955436503,NA,NA,NA
"4510","PLUMBING FIXTURES AND ACCESSORIES","Other","Products (All)",NA,NA,808.8,NA,NA,NA
"4520","SPACE AND WATER HEATING EQUIPMENT","Other","Products (All)",NA,NA,36549.314833173,NA,NA,NA
"4540","WASTE DISPOSAL EQUIPMENT","Other","Products (All)",NA,NA,24479.3110774287,NA,NA,NA
"4910","MOTOR VEHICLE MAINT EQ","Ground Vehicles","Products (All)",NA,27786.2958842265,3907.04610413819,NA,NA,NA
"4931","FIRE CONT MAINT EQ","Other","Products (All)",NA,NA,35479.1154791155,NA,NA,NA
"4940","MISC MAINT EQ","Missiles & Space","Products (All)",NA,NA,1396459.48642649,NA,NA,NA
"4970","MULTI GUIDED WEAPON/SPEC MAINT EQ","Other","Products (All)",0,NA,12072.3243638135,NA,NA,NA
"5110","HAND TOOLS, EDGED, NONPOWERED","Other","Products (All)",47466.7390714092,7517.92750725568,75568.8693406595,NA,NA,NA
"5120","HAND TOOLS, NONEDGED, NONPOWERED","Other","Products (All)",251252.481001776,0,30886.0977825842,NA,NA,NA
"5130","HAND TOOLS, POWER DRIVEN","Other","Products (All)",NA,18598.9682324192,6906.91447291447,NA,NA,NA
"5140","TOOL AND HARDWARE BOXES","Other","Products (All)",NA,6846.67432656709,10406.1318259227,NA,NA,NA
"5180","SETS KITS & OUTFITS OF HAND TOOLS","Other","Products (All)",NA,NA,242454.073356831,NA,NA,NA
"5210","MEASURING TOOLS, CRAFTSMEN'S","Other","Products (All)",NA,NA,8026.54867256637,NA,NA,NA
"5220","GAGES & PRECISION LAYOUT TOOL","Other","Products (All)",NA,NA,366592.298310269,NA,NA,NA
"5280","SETS, KITS & OUTFITS OF MEASURING T","Other","Products (All)",NA,NA,1825418.15849147,NA,NA,NA
"5325","FASTENING DEVICES","Other","Products (All)",NA,NA,25061.4878850603,NA,NA,NA
"5330","PACKING AND GASKET MATERIALS","Other","Products (All)",NA,NA,5171.27071823204,NA,NA,NA
"5340","HARDWARE","Other","Products (All)",150146.482816895,1862929.882742,2063390.84009034,NA,NA,NA
"5350","ABRASIVE MATERIALS","Other","Products (All)",NA,119501.936933487,NA,NA,NA,NA
"5355","KNOBS AND POINTERS","Other","Products (All)",NA,NA,4298.36065573771,NA,NA,NA
"5410","PREFABRICATED & PORTABLE BUILDINGS","Other","Products (All)",9905.60465660466,19975.8063336981,2022710.44672493,NA,NA,NA
"5411","RIGID WALL SHELTERS","Other","Products (All)",NA,NA,5539.99756483624,NA,NA,NA
"5420","BRIDGES, FIXED AND FLOATING","Other","Products (All)",NA,NA,2920.92,NA,NA,NA
"5430","STORAGE TANKS","Other","Products (All)",NA,NA,331337.378611477,NA,NA,NA
"5440","SCAFFOLDING EQ & CONCRETE FORMS","Other","Products (All)",NA,NA,8303.9368162048,NA,NA,NA
"5445","PREFABRICATED TOWER STRUCTURES","Other","Products (All)",NA,NA,99000.4117964728,NA,NA,NA
"5450","MISC PREFABRICATED STRUCTURES","Other","Products (All)",NA,0,66703.9038186327,NA,NA,NA
"5510","LUMBER & RELATED WOOD MATERIALS","Other","Products (All)",NA,5492.14860206817,25218.8150093487,NA,NA,NA
"5530","PLYWOOD AND VENEER","Other","Products (All)",NA,NA,32247.2244966892,NA,NA,NA
"5620","TILE, BRICK AND BLOCK","Other","Products (All)",NA,NA,127744.234585093,NA,NA,NA
"5630","PIPE AND CONDUIT, NONMETALLIC","Other","Products (All)",NA,NA,17746.9428261916,NA,NA,NA
"5640","WALLBOARD BLDG & THERMAL INSULATION","Other","Products (All)",NA,NA,1369.13377056007,NA,NA,NA
"5650","ROOFING AND SIDING MATERIALS","Other","Products (All)",NA,NA,22410.4278057085,NA,NA,NA
"5660","FENCING FENCES & GATES","Other","Products (All)",NA,NA,205065.01003435,NA,NA,NA
"5670","BUILDING COMPONENTS, PREFABRICATED","Other","Products (All)",NA,0,697422.073228598,NA,NA,NA
"5675","NONWOOD CONSTRUCT MATERIAL","Other","Products (All)",NA,NA,99394.8055175842,NA,NA,NA
"5680","MISC CONTRUCT MATERIALS","Other","Products (All)",NA,0,350944.082583041,NA,NA,NA
"5805","TELEPHONE AND TELEGRAPH EQUIPMENT","Electronics & Communications","Products (All)",19205741.8431901,18872723.1363219,171413997.809992,1322572.98961366,NA,NA
"5810","COMM SECURITY EQ & COMPS","Electronics & Communications","Products (All)",102984356.947706,69296351.107302,198155614.05549,19542253.4278078,225934.314835787,NA
"5811","OTHER CRYPTOLOGIC EQ & COMPONENTS","Electronics & Communications","Products (All)",70998.9258861439,89509.4880057286,6570875.74791862,NA,NA,NA
"5815","TELETYPE AND FACSIMILE EQUIPMENT","Electronics & Communications","Products (All)",3957134.13608075,16188.4757775472,199656.133986788,NA,NA,NA
"5820","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE","Electronics & Communications","Products (All)",22750456.6108842,3673771.63896517,46952941.3382212,NA,NA,NA
"5821","RADIO & TV EQ AIRBORNE","Aircraft","Products (All)",5971679.68669854,21014049.6085979,33834494.7839709,NA,NA,NA
"5825","RADIO NAVIGATION EQ - EXCEPT AIR","Electronics & Communications","Products (All)",NA,24690.3820816864,185802.070247963,NA,NA,NA
"5826","RADIO NAVIGATION EQ AIR","Aircraft","Products (All)",NA,NA,12748.9683166084,NA,NA,NA
"5830","INTERCOMM PUBLIC ADDRESS SYS EX AIR","Electronics & Communications","Products (All)",95337.9415896948,64137.85995086,1483087.68461276,NA,NA,NA
"5831","INTERCOMM PUBLIC ADDRESS SYS - AIR","Aircraft","Products (All)",NA,NA,578393.684126786,NA,NA,NA
"5835","SOUND RECORDING & REPRODUCING EQ","Electronics & Communications","Products (All)",152616.267250991,171131.903177854,5506357.07832246,NA,NA,NA
"5836","VIDEO RECORDING AND REPRODUCING EQU","Electronics & Communications","Products (All)",405664.683798613,2732503.3372341,28566963.0677263,NA,NA,NA
"5840","RADAR EQUIPMENT, EXCEPT AIRBORNE","Electronics & Communications","Products (All)",NA,16037.2781820503,62834.8813469499,NA,NA,NA
"5850","VISIBLE AND INVISIBLE LIGHT COMMUNICATION EQUIPMENT","Electronics & Communications","Products (All)",7392.07168069508,NA,12896.4246509389,NA,NA,NA
"5855","NIGHT VISION EQ","Electronics & Communications","Products (All)",NA,NA,198402.972677596,NA,NA,NA
"5860","STIMULATED COHERENT RADIATION DEV","Electronics & Communications","Products (All)",NA,NA,31042.624580589,NA,NA,NA
"5865","ELEC COUNTERMEASURE & QUICK REAC EQ","Electronics & Communications","Products (All)",39410.9606064372,353896.361244537,619741.030506074,NA,NA,NA
"5895","MISC COMMUNICATION EQ","Electronics & Communications","Products (All)",330182584.467708,130065304.629511,796510986.755898,23265911.4227073,NA,NA
"5905","RESISTORS","Electronics & Communications","Products (All)",NA,NA,5218.18181818182,NA,NA,NA
"5915","FILTERS AND NETWORKS","Electronics & Communications","Products (All)",NA,48818.1818181818,148720.953481565,NA,NA,NA
"5920","FUSES ARRESTERS ABORBERS & PROTECTO","Electronics & Communications","Products (All)",NA,NA,11635.3887399464,NA,NA,NA
"5925","CIRCUIT BREAKERS","Electronics & Communications","Products (All)",NA,30372.8097427613,319689.53690246,NA,NA,NA
"5930","SWITCHES","Electronics & Communications","Products (All)",12661.5933703007,30872.0601503759,765115.594289385,NA,NA,NA
"5935","CONNECTORS, ELECTRICAL","Electronics & Communications","Products (All)",112564.982572584,NA,763094.252120343,NA,NA,NA
"5950","COILS AND TRANSFORMERS","Electronics & Communications","Products (All)",NA,NA,204048.709739717,NA,NA,NA
"5955","OSCILLATORS AND PIEZOELECTRIC CRYSTALS","Electronics & Communications","Products (All)",NA,NA,8935.00683484528,NA,NA,NA
"5961","SEMI CONDUCTOR DEVICES","Electronics & Communications","Products (All)",NA,NA,4036.76752202221,NA,NA,NA
"5962","MICROCIRCUITS, ELECTRONIC","Electronics & Communications","Products (All)",NA,NA,30649.9336802367,NA,NA,NA
"5963","ELECTRONIC MODULES","Electronics & Communications","Products (All)",43606.2838871125,NA,314984.870923229,NA,NA,NA
"5965","HEADSET,HANDSET,MICROPHONE & SPEAK","Electronics & Communications","Products (All)",22123.2690741244,55549.1757716154,396848.24222115,NA,NA,NA
"5975","ELECTRICAL HARDWARE AND SUPPLIES","Electronics & Communications","Products (All)",473599.914990445,800915.055310282,3430919.55441414,NA,NA,NA
"5980","OPTOELECTRICAL DEVICES/ASSOC HARDWA","Electronics & Communications","Products (All)",NA,0,10935.7524543308,NA,NA,NA
"5985","ANTENNAS WAVEGUIDES & RELATED EQ","Electronics & Communications","Products (All)",1264506.80437661,48574.5038768576,4629907.81402585,NA,NA,NA
"5995","CABLE CORD WIRE ASSEMBLY - COMM EQ","Electronics & Communications","Products (All)",129993.454420393,327400.299150494,4948385.91655432,16561.1129835312,NA,NA
"5996","AMPLIFIERS","Electronics & Communications","Products (All)",NA,104093.832266347,12062.1603337468,NA,NA,NA
"5998","ELE ASSEMB-BDS CARDS-ASSOC HARDWARE","Electronics & Communications","Products (All)",33172.6853108879,100229.14153098,177165.262653079,NA,NA,NA
"5999","MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS","Electronics & Communications","Products (All)",835753.497473862,1151421.29870311,2412595.67738477,NA,NA,NA
"6010","FIBER OPTIC CONDUCTORS","Electronics & Communications","Products (All)",NA,227.211337731886,17342.7953092438,NA,NA,NA
"6015","FIBER OPTIC CABLES","Electronics & Communications","Products (All)",123112.967129418,1277775.08251816,42576248.9476258,42789949.6999801,NA,NA
"6020","FIBER OPTIC CABLE ASSEMBLIES AND HARNESSES","Electronics & Communications","Products (All)",22144.2031122031,38554.7463475351,167408.092569965,NA,NA,NA
"6021","FIBER OPTIC SWITCHES","Electronics & Communications","Products (All)",NA,NA,60194.1467455894,NA,NA,NA
"6026","FIBER OPTIC RECEIVERS","Electronics & Communications","Products (All)",NA,NA,57775.2650816451,NA,NA,NA
"6030","FIBER OPTIC DEVICES","Electronics & Communications","Products (All)",NA,74479.7650963871,246374.879890559,NA,NA,NA
"6032","FIBER OPTIC LIGHT SOURCES","Electronics & Communications","Products (All)",NA,NA,9233.9190083551,NA,NA,NA
"6060","FIBER OPTIC INTERCONNECTORS","Electronics & Communications","Products (All)",NA,NA,12707.6410576723,NA,NA,NA
"6070","FIBER OPTIC ACCESSORIES & SUPPLIES","Electronics & Communications","Products (All)",16565.9321806891,523089.318664368,129723.540623588,NA,NA,NA
"6080","FIBER OPTIC KITS AND SETS","Electronics & Communications","Products (All)",3800.02435163765,-1073.06210881078,99327.5119162253,NA,NA,NA
"6099","MISC FIBER OPTIC COMPONENTS","Electronics & Communications","Products (All)",34312.6750273956,52536.6497717583,32009590.8678138,NA,NA,NA
"6110","ELECTRICAL CONTROL EQUIPMENT","Engines & Power Plants","Products (All)",25170.4327843738,NA,1148207.98170573,NA,NA,NA
"6115","GENERATORS & GENERATOR SETS ELECT","Engines & Power Plants","Products (All)",5967.00596700597,161193.667815652,631035.243572896,NA,NA,NA
"6120","TRANSFORMERS - DISTRIB & POWER STA","Engines & Power Plants","Products (All)",NA,0,3546798.63292512,NA,NA,NA
"6125","CONVERTERS, ELECTRICAL, ROTATING","Engines & Power Plants","Products (All)",NA,NA,1239292.85773288,NA,NA,NA
"6130","CONVERTERS, ELECTRICAL, NONROTATING","Engines & Power Plants","Products (All)",148294.769961822,115174.475184207,15742.0035100035,NA,NA,NA
"6135","BATTERIES, NONRECHARGEABLE","Engines & Power Plants","Products (All)",248718.436057562,8766.58955314745,1195221.00624873,NA,NA,NA
"6140","BATTERIES, RECHARGEABLE","Engines & Power Plants","Products (All)",13008.7122568326,NA,1251154.10426738,NA,NA,NA
"6145","WIRE AND CABLE, ELECTRICAL","Electronics & Communications","Products (All)",79141.9756307265,4885.73981871569,7007227.15864663,NA,NA,NA
"6150","MISC ELECTRIC POWER & DISTRIB EQ","Electronics & Communications","Products (All)",695297.811922532,440069.359412577,22929351.4804492,NA,NA,NA
"6160","MISC BATTERY RET FIXTURES & LINERS","Electronics & Communications","Products (All)",NA,8703.55731225296,11537,NA,NA,NA
"6210","INDOOR & OUTDOOR ELEC LIGHTING FIXT","Electronics & Communications","Products (All)",NA,NA,110204.691983006,NA,NA,NA
"6230","ELEC PORTABLE & HAND LIGHTING EQ","Electronics & Communications","Products (All)",NA,NA,44690.2792389302,NA,NA,NA
"6240","ELECTRIC LAMPS","Electronics & Communications","Products (All)",NA,30429.6413447151,487449.167869981,NA,NA,NA
"6250","BALLASTS, LAMPHOLDERS, AND STARTERS","Electronics & Communications","Products (All)",NA,3941.01876675603,287708.229786086,NA,NA,NA
"6340","AIRCRAFT ALARM AND SIGNAL SYSTEMS","Aircraft","Products (All)",NA,4892.83822821377,28546.5278338772,NA,NA,NA
"6350","MISC ALARM, SIGNAL, SEC SYSTEMS","Electronics & Communications","Products (All)",1527309.29734447,1325263.20819335,14418154.4529338,NA,NA,NA
"6515","MED & SURGICAL INSTRUMENTS,EQ & SUP","Clothing & Subsistence","Products (All)",NA,NA,25552.2311142611,NA,NA,NA
"6530","HOSP FURNITURE,EQ,UTENSILS & SUP","Clothing & Subsistence","Products (All)",0,7462.45059288538,50729.3315475466,NA,NA,NA
"6545","MEDICAL SETS KITS & OUTFITS","Clothing & Subsistence","Products (All)",NA,NA,10018.2637282357,NA,NA,NA
"6605","NAVIGATIONAL INSTRUMENTS","Other","Products (All)",NA,NA,16492.9622662812,NA,NA,NA
"6615","AUTO PILOT MECHANISMS AIRBORNE GYRO","Aircraft","Products (All)",NA,NA,6265.0457390467,NA,NA,NA
"6625","ELECT ELECTRONIC MEASURING INSTRUMT","Other","Products (All)",2578238.11606633,1895714.77718584,2034648.99004448,41760.0444876964,NA,NA
"6630","CHEMICAL ANALYSIS INSTRUMENTS","Other","Products (All)",6736.35623133315,NA,352064.286302461,NA,NA,NA
"6635","PHYSICAL PROPERTIES TEST EQ","Other","Products (All)",NA,34173.9130434783,1460866.9804286,NA,NA,NA
"6636","ENVIRONMENTAL CHAMBERS & RELATED EQ","Other","Products (All)",NA,701939.393939394,NA,NA,NA,NA
"6640","LABORATORY EQUIPMENT AND SUPPLIES","Other","Products (All)",75107.9652989163,-4043.15077237329,213969.038852024,NA,NA,NA
"6645","TIME MEASURING INSTRUMENTS","Other","Products (All)",NA,4185.77075098814,65500.7473572486,NA,NA,NA
"6650","OPTICAL INSTRUMENTS","Other","Products (All)",NA,78128.2947537756,339137.427939446,NA,NA,NA
"6665","HAZARD-DETECTING INSTRU & APPARATUS","Other","Products (All)",187858.827304743,0,NA,NA,NA,NA
"6670","SCALES AND BALANCES","Other","Products (All)",NA,NA,28617.7137062352,NA,NA,NA
"6675","DRAFTING SURVEYING & MAPPING INSTRU","Other","Products (All)",NA,NA,256959.116748861,NA,NA,NA
"6680","LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS","Other","Products (All)",NA,NA,543.04,NA,NA,NA
"6685","PRESSURE TEMP HUMIDITY INSTRUMENTS","Other","Products (All)",NA,NA,1200864.73249787,NA,NA,NA
"6695","COMBINATION & MISC INSTRUMENTS","Other","Products (All)",NA,138717.917080357,77883.4052211016,NA,NA,NA
"6710","CAMERAS, MOTION PICTURE","Other","Products (All)",-181.34328358209,NA,162311.805444746,NA,NA,NA
"6720","CAMERAS, STILL PICTURE","Other","Products (All)",NA,NA,196270.965414487,NA,NA,NA
"6730","PHOTOGRAPHIC PROJECTION EQUIPMENT","Other","Products (All)",85424.168558469,114479.651704206,916392.74424129,NA,NA,NA
"6740","PHOTO DEVELOPLNG & FINISHING EQ","Other","Products (All)",NA,NA,122733.912150984,NA,NA,NA
"6750","PHOTOGRAPHIC SUPPLIES","Other","Products (All)",NA,55254.3798432597,539194.921123689,NA,NA,NA
"6760","PHOTOGRAPHIC EQ & ACCESSORIES","Other","Products (All)",NA,955429.529278582,920898.60844514,NA,NA,NA
"6780","PHOTOGRAPHIC SETS KITS & OUTFITS","Other","Products (All)",NA,98663.5073361965,914670.587906077,NA,NA,NA
"6830","GASES: COMPRESSED AND LIQUEFIED","Other","Products (All)",NA,NA,590.282092705356,NA,NA,NA
"6910","TRAINING AIDS","Other","Products (All)",0,448054.018445323,15706317.447318,NA,NA,NA
"6920","ARMAMENT TRAINING DEVICES","Other","Products (All)",NA,67394.4247476761,NA,NA,NA,NA
"6930","OPERATION TRAINING DEVICES","Other","Products (All)",NA,NA,18510.5621195847,NA,NA,NA
"6940","COMMUNICATION TRAINING DEVICES","Other","Products (All)",111243.912318743,118223.254156744,136492.029328944,NA,NA,NA
"7010","ADPE SYSTEM CONFIGURATION","Electronics & Communications","Products (All)",733073579.663649,16063124.8227834,5894.29337418614,398856932.77632,182178.56252327,NA
"7020","ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), ANALOG","Electronics & Communications","Products (All)",284922160.692819,9968208.32735723,NA,198113.448854188,NA,NA
"7021","ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL","Electronics & Communications","Products (All)",220818932.124583,9041.17168538441,0,29124.0521201571,NA,NA
"7022","ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), HYBRID","Electronics & Communications","Products (All)",194926838.795088,13273451.604374,NA,-351427.05095054,NA,NA
"7025","ADP INPUT/OUTPUT & STORAGE DEVICES","Electronics & Communications","Products (All)",353342651.884165,8350143.92718141,427467.766170051,1894676.8116698,55223.6693091733,NA
"7030","ADP SOFTWARE","Electronics & Communications","Products (All)",6235958956.08522,248821802.265175,7088044.52251069,210953424.584673,6087146.39076437,NA
"7035","ADP SUPPORT EQUIPMENT","Electronics & Communications","Products (All)",1319776600.51923,28595642.656434,347124.334571278,46245551.3448252,NA,NA
"7040","PUNCHED CARD EQUIPMENT","Electronics & Communications","Products (All)",53819.8877475563,NA,NA,NA,NA,NA
"7042","MINI & MICRO COMPUTER CONT DEVICES","Electronics & Communications","Products (All)",20017785.0242936,-48206.5167012002,NA,4383762.21172941,NA,NA
"7045","ADP SUPPLIES","Electronics & Communications","Products (All)",110227644.302734,552853.851149352,32347.4586802535,2279780.01851342,NA,NA
"7050","ADP COMPONENTS","Electronics & Communications","Products (All)",1697764256.76911,6363461.02271777,152043.072697535,2075957.17595779,NA,NA
"7105","HOUSEHOLD FURNITURE","Other","Products (All)",NA,185694.758232193,25387.578237843,NA,NA,NA
"7110","OFFICE FURNITURE","Other","Products (All)",5916417.70024389,5234024.52906286,64853931.7568301,204491.514052893,NA,NA
"7125","CABINETS LOCKERS BINS & SHELVING","Other","Products (All)",546202.749316666,421004.22508051,994145.023085815,NA,NA,NA
"7195","MISC FURNITURE & FIXTURES","Other","Products (All)",94124.8186228794,120087.586108991,1204089.68680191,NA,NA,NA
"7210","HOUSEHOLD FURNISHINGS","Other","Products (All)",NA,NA,526356.656156923,NA,NA,NA
"7220","FLOOR COVERINGS","Other","Products (All)",106917.221487864,97265.330046379,982468.700653052,NA,NA,NA
"7230","DRAPERIES, AWNINGS, AND SHADES","Other","Products (All)",NA,NA,70981.6633976005,NA,NA,NA
"7290","MISCELLANEOUS HOUSEHOLD AND COMMERCIAL FURNISHINGS AND APPLIANCES","Other","Products (All)",NA,266965.747290182,82927.9442555567,NA,NA,NA
"7310","FOOD COOKING BAKING SERVING EQ","Other","Products (All)",NA,-1536.57954409834,32878.1136993007,NA,NA,NA
"7320","KITCHEN EQUIPMENT AND APPLIANCES","Other","Products (All)",24352.6390055022,11205.2847924023,56435.0293310602,NA,NA,NA
"7360","SET KIT & OUTFIT FOOD PREP & SERV","Other","Products (All)",NA,7513.83399209486,27465.444925051,NA,NA,NA
"7430","TYPEWRITER & OFFICE COMPOSING MACH","Other","Products (All)",673026.244965654,68985.3609324977,442076.734540174,NA,NA,NA
"7435","OFFICE INFORMATION SYSTEM EQUIPMENT","Other","Products (All)",5121996.4875719,1472532.03985731,58079489.2748016,NA,NA,NA
"7450","OFFICE SOUND RECORDING REPRO MACH","Other","Products (All)",68486.5328101414,NA,199213.112986424,NA,NA,NA
"7460","VISIBLE RECORD EQUIPMENT","Other","Products (All)",0,0,3476.36949516649,NA,NA,NA
