"PlatformPortfolio","gfe_gfp_value","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Ordnance and Missiles","Transaction uses
Government Furnished
Equipment or Property",608505.12,15596819.4422,205039967.35,6126636418.4609,4872897598.5631,5735422386.7561,7308419706.791,6839254039.2829,7617573330.5209,6619100548.5653,5792919633.9607,6222739863.4342,8093208100.7419,7337433349.3112,8175225168.2584,8520529515.1849,9948050810.852,9415422402.6373,7936395801.3249,14624499451.9099,13197968956.3,5233470217.42
"Other Products","No Government Furnished",28186669090.3702,47383453897.6414,52878053279.4316,55695839860.039,61991320337.4492,62295569503.8164,73205017703.2829,55466046121.5828,59291553677.012,47673193602.1919,43823819013.7187,41755593569.5023,40431641321.1253,42717452995.6758,45744169167.3669,44801453372.726,61817676610.8535,81899910620.9408,76681061108.6049,62598923755.31,63239212945.1418,26911706313.63
"Other Products","Transaction uses
Government Furnished
Equipment or Property",12825433.3814,15682141.9095,693952863.9914,232302718.5367,60778766.3705,162913748.2309,738561978.0857,713656096.0392,749102860.7346,462800323.5888,555700544.2176,379968604.2588,788464365.3885,568962900.5254,677249270.9625,625584661.1996,1084373843.7738,1300275083.4663,11103492390.0345,2759170201.8834,737142394.87,312277215.98
"Other Products",,,,,,,,11064.9697,,,,,,,,,,,,,,,
"Other R&D and Knowledge Based","No Government Furnished",41594947480.1332,50102066610.9627,55976289869.7279,55543596510.5717,63032010909.4723,68681748158.8947,67202670599.7994,66258449555.2517,60067878879.5101,62579526335.478,60748647776.5358,63035912209.3525,64328070060.4006,67899537271.9525,73782554967.4484,79826777977.3853,91762858785.9731,100403632924.129,98218505352.8059,111607786660.296,119216947597.729,40768396695.73
"Other R&D and Knowledge Based","Transaction uses
Government Furnished
Equipment or Property",2466873921.8193,3157786218.4454,4244402900.4272,7964630363.2408,9838586906.1852,12128604807.604,17843468864.1997,16698279423.7627,21061312109.0894,12309607874.1428,14626938360.4428,13366570500.1488,14438191926.3435,14488882734.1235,15086355609.3767,15697820786.834,16490090537.4459,17382714237.367,25460091290.8187,32646080531.8857,34569829095.2,15479452069.13
"Other R&D and Knowledge Based",,,,,,41248,1068905.9004,7185.06,,,,,,,,0,,,,,,,
"Other Services","No Government Furnished",23352307327.9301,25548568810.0796,28691792702.0174,24241078548.5203,25974759994.2162,30870488412.8134,30160959683.3916,34143322961.228,34572930227.3863,31217955059.666,30004089678.778,28756802418.5635,31279210697.5991,36674950700.5958,37084774978.2679,39466084865.5414,49019696444.6268,59019477882.6527,56898508213.9516,58710841247.5653,72261055455.072,34146348436.2
"Other Services","Transaction uses
Government Furnished
Equipment or Property",130563999.2908,205074598.2694,576268822.8287,5649680033.2558,7475864842.7043,7201473963.6053,10832967670.3233,12059261923.038,7991380650.2494,8269258196.4551,5209399943.5622,4277037009.4692,3755814986.2649,4673231825.9863,5183180864.8906,5023918531.0031,4690694728.634,3710168622.8302,13810775220.2211,13450024333.071,6048529685.4392,2114652037.54
"Ships & Submarines","No Government Furnished",15091330924.5164,14529141528.2788,16976378906.5106,15101478908.7639,16632686361.2634,20592845071.818,13597665844.8435,15287629867.252,19080893465.435,18649264872.4825,19753157370.4778,20735915362.0985,18896745513.9075,23810113201.1495,27562352173.781,28373478087.4292,30616984833.5147,29296551351.9436,26434006418.447,28777329757.5308,27229489728.4648,17749722216.29
"Ships & Submarines","Transaction uses
Government Furnished
Equipment or Property",732014960.4392,417870910.6256,574736769.8451,2807068252.8715,3783823044.4188,2132365325.7183,5174316908.0278,15502376108.7102,6264657945.772,6352700821.1203,5797738102.4581,1777362809.8619,6846835478.9727,4873287316.0946,5250405500.8795,6718739789.9644,11071571505.4342,4751396233.0696,9745006871.0456,13366016411.7178,13961189441.9661,4347024122.21
"Ships & Submarines",,,,,,,,15072.86,,,,,,,,,,,,,,,
"Space Systems","No Government Furnished",11654302723.3827,11516227517.7359,12984868657.6181,11630141053.674,13585702225.3678,12535576522.6141,9695818803.2554,8213075561.5001,9805611548.0696,5927938681.4257,7783931481.3755,6399486377.2905,6072494285.2633,6670872905.9094,7493516669.5147,7788463927.0973,9439318485.0737,6587473228.5326,5516748896.0595,5663106101.2007,6601234180.74,2475448449.2
"Space Systems","Transaction uses
Government Furnished
Equipment or Property",921841300.67,939915801.52,1133641640.7792,2286077565.14,3089195828.4045,5851676921.6205,7726117906.2707,10737989827.2404,9203413383.6278,10567739732.8762,9502806387.648,9246638540.8538,10754475924.1087,10041422241.6362,9877828043.6822,10591317180.313,9762765081.9743,8828211225.0439,11737745556.509,13028393348.2659,12273373637,4658074751.21
"Unlabeled","No Government Furnished",342169012.683,432193003.3731,526233473.3134,291997111.4191,203466247.7483,102851117.0221,32599073.3814,2509853.2309,-3588584.3123,-7339629.7706,-175783.96,-771054.7156,6571400.4133,232336.3083,-244515.52,37111.09,13033.91,316167.55,6232382.3557,14591626.5254,14583683.27,11529072.96
"Unlabeled","Transaction uses
Government Furnished
Equipment or Property",4047167.3829,4687072.95,522717.51,19922537.62,4617763.6594,5128762.84,912913.3408,-124688.2848,16992.2292,0,-590.19,,-1799284.7,0,,,0,,,,,239539.25
