"CompetitionClassification","Vehicle.sum7","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Unlabeled: Competition; Zero Offers","BOA or BPA",60975677.917325,192442632.848993,322223467.293022,622145478.368412,1760260165.02737,1433232509.37901,1707638709.10546,2517644668.12865,3480136519.63778,4161052658.47433,7364026820.95728,2102711641.06331,443943348.474308,137302226.94645,115088099.709851,15331121.3496093,12944194.3757478,37169690.6361801,50200647.1258861,243723012.30201,305845334.68344,303487673.429582,276782920.408055,221789323.7863,35907353.8782166,2335644.0055892
"Unlabeled: Competition; Zero Offers","Definitive",2039809114.30586,467405486.453135,1001552535.3535,1747889392.7203,2019040432.24611,1235945506.41089,1047293776.70818,1155147913.4168,1380058615.34816,1672164388.78981,1307959747.07926,1028019899.87463,1109229128.6691,1224521553.75366,1071027935.49068,1025547169.55343,1227194512.20983,1065285892.81443,1114066216.17288,1157950784.70356,1323489465.45044,1440862841.72506,1557858828.89047,1592209653.08,1579482695.89716,1235800731.58434
"Unlabeled: Competition; Zero Offers","FSS or GWAC",1787314571.33265,1797918783.37031,1470718837.41401,1168785248.74014,1210012634.50672,270921355.943137,138715634.12259,89611073.5329066,94004067.7808703,35019069.2284012,13725565.4609284,912515.922775849,212191.191454747,-141438.376618888,11580752.5198318,-646523.610186066,74212.4528078236,569.309455759365,0,0,-0.162034701786914,,,0,0,0
"Unlabeled: Competition; Zero Offers","Multi-Awd.",57337396.9558183,21054811.5145314,37671684.3286476,49964205.0460795,7604581.65840225,1376053.8525256,303881.567339811,224768.249779311,1221070.45900093,0,0,-71513.1525794751,2651.88359560496,-206964.671087084,-2840.17548472716,,-246506.263872972,,,,,-27972.0439962926,,,,
"Unlabeled: Competition; Zero Offers","Pur. Order",888851307.256809,943936717.759782,1269706396.65093,1760532991.83541,214523622.637541,388136632.706243,290542590.908181,406025084.18441,356077300.593759,324742143.078959,14765310.843925,-726173.200986502,-1306358.22905725,-1659052.31401565,-724847.741030872,-374853.471894144,-315675.255105881,-175449.843605564,-44593.9909288257,-46842.0966439763,-49831.3188662239,-80966.7932363616,-21196.8756337747,-6594.46,-7258.94276171301,-6158.20657424607
"Unlabeled: Competition; Zero Offers","Single-Awd.",819697128.742458,536129766.794596,377206026.044858,284133483.850447,223991355.587489,124469065.060237,14340009.6963528,34814478.1333073,42393534.0804003,9133569.465673,130112666.543999,20680874.8376604,27266307.7341215,-3634999.82800397,5985977.53908207,3281792.52903222,768647.220929726,879860.577187951,4125334.77727343,2715725.63615732,-433603.324851156,1586889.860126,-915846.174934197,2710683.1104,1219305.68695583,-3589.94260085228
"Unlabeled: Competition; Zero Offers","Unlbd. IDV",497774360.700657,440850583.135464,760801424.359429,349089732.805513,28657478.2836975,8009613.33138622,2853830.25400569,5771042.42433976,-259538.736763938,-175134.299550814,-127407.757756212,-18844886.3896191,3757.73504438602,393816.896923215,-141.133956092182,,4096.30872658421,0,1322648.38056316,301944.735500146,327661.944390588,,,,,0
"Unlabeled: Competition; Zero Offers","Unlabeled",,0,105231.644194798,0,414.948231284635,15020.3027028386,0,0,0,0,,,,,,,,,,,,,,,,
"Unlabeled: No competition; multiple offers","BOA or BPA",25249543.1650876,26053746.253943,57574384.7394052,91910671.3018385,60021125.1990997,9613612.69471164,12008799.3741218,43617466.6836962,22026919.0787526,71494596.5631467,82658411.7132285,120561379.804955,230814767.61026,212187951.27136,172053140.6484,74404128.7069444,52758110.0165049,136781502.556383,86127024.4600145,107450705.133293,91001326.7298374,88065836.4285407,98152433.3661564,58210108.1452,69693601.9525777,24392130.3522017
"Unlabeled: No competition; multiple offers","Definitive",954581394.389352,1592259794.35711,2931277735.01827,1601737308.4361,1333325802.93868,920317787.983933,729310154.833233,319689137.163708,489088859.603308,523045309.340119,363085450.776708,248807127.967943,169427011.6175,211605596.91735,45703184.0390643,101860759.277327,25719382.8395265,30785297.8963993,379856405.280635,50345878.6090731,53205655.5245109,38291042.8251904,33187230.9680938,40786040.13,124622265.834102,47635364.4551866
"Unlabeled: No competition; multiple offers","FSS or GWAC",12378784.1832376,256721622.78745,89359562.5240989,162945137.427806,372737911.75939,234624260.04131,255441006.709006,280165790.378162,543297481.134304,570761199.784992,1286507879.17108,928366000.43935,1065604040.84229,1203253026.99777,1522607285.38096,1147244101.15669,1113912526.56919,931650595.50171,877180267.191287,830027851.854455,621416195.943435,592084487.105183,405004758.64269,348438319.4232,241461918.28775,79051878.1640831
"Unlabeled: No competition; multiple offers","Multi-Awd.",21567608.6829801,596742152.299272,5325021748.38486,7178521026.45554,7304647152.97611,10081814040.8229,8163632510.66989,2028255333.91208,1392342460.38896,1413236115.21376,5351003839.905,3770018511.02481,3439766345.58618,2959208862.27003,2531503363.42899,1934658054.18423,1856482728.72334,1528814369.78719,2355583373.00031,1989796835.33073,1891823418.45404,1549613106.97635,1059087569.09572,1302038728.3483,1073910741.87355,524940569.589561
"Unlabeled: No competition; multiple offers","Pur. Order",440494439.886344,260088900.148808,294708941.844365,312492522.895399,483151367.292187,310086503.500397,122372919.136386,124038303.34604,195837702.593723,97531042.8396434,34312649.7720326,119905045.623209,62273530.995052,4618083.39624418,5340958.10247495,7222525.13641641,6991010.32838069,2340048.26442723,2582414.75678268,2296655.10272187,2135764.33502604,2609438.5298266,7354693.6779833,7228222.57,11227364.1867568,3029725.73385214
"Unlabeled: No competition; multiple offers","Single-Awd.",330436537.507702,695518720.841815,1070174574.65457,1497943572.29887,3892316432.20595,2984767347.63913,3700675003.23352,2511804028.32756,2828746546.94692,2689351265.68721,2169184165.81301,1703628777.32024,1185238823.54766,-261770791.770722,44129406.1363398,48026405.9145112,164203424.22723,39762322.5191768,-11297854.8055665,72737902.780978,109216870.292397,52597085.7605683,81801833.6594515,106909726.0634,141249327.76763,50738457.0610855
"Unlabeled: No competition; multiple offers","Unlbd. IDV",167157629.538995,684392706.264159,112771139.890145,61330790.2072779,243696255.134002,37166344.2462562,15784851.6765851,-376682.73622462,-4622482.4785166,-17347.655600069,2235213.57426675,2116603.39723052,1917273.5698779,-2706.80538344636,-198142.858422396,-129115.314466521,0,0,,,,,,,,-11428.3367430873
"Unlabeled: No competition; multiple offers","Unlabeled",,,0,0,,,,,,,,,,,,,,,,,,,,,,0
"Unlabeled: No competition; multiple offers; Overrode blank Extent Competed)","Single-Awd.",,,,,,49415.62340751,40028.1502934103,1974908.188126,647248.438314703,-124855.411201705,-2926.52207742869,-56889.3185571415,,,,,,,,,,,,,,
"Unlabeled: No competition; multiple offers; Overrode blank Fair Opportunity)","BOA or BPA",11468964.8759723,14923496.5627701,20805680.9393613,37213015.2904844,1727836872.84819,1882525668.56975,1607741382.80666,1636810660.0738,1018254182.91836,172424008.739394,111463951.869977,14148611.1382993,8415449.35522053,1011986.30160659,-931920.850651419,-112770.88344619,-39380.8197483868,-87054.3822594731,-56416.2340947877,71142.7853025089,0,-114036.481215864,-1440.30678490597,-18035.9998,,-92.5532300159463
"Unlabeled: No competition; multiple offers; Overrode blank Fair Opportunity)","FSS or GWAC",91150262.8355727,334606972.276142,564746035.095619,697562848.000121,234698900.548771,163375661.41197,130780899.717727,63320171.6154409,6758168.18720541,9214276.26978217,8694208.98164299,7430734.06845254,1630335.5052274,-1452915.7184117,-7.07945318986223,0,0,13733.7905276383,0,0,0,0,0,0,0,0
"Unlabeled: No competition; multiple offers; Overrode blank Fair Opportunity)","Multi-Awd.",32543273.8380136,152028263.434348,276690539.354903,151754880.297633,215433876.649564,47078949.4477053,16963951.0010351,38094722.2210078,56386309.4040007,34114261.0896342,12478782.4029578,-46587.3055008769,-174804.685280414,0,0,-209442.115500827,-5875.50938933419,0,,,-73668.1730137843,,,,,
"Unlabeled: No competition; multiple offers; Overrode blank Fair Opportunity)","Unlbd. IDV",223369946.495799,524198155.611593,419093361.750176,222367274.679753,166544797.883948,69231982.4709943,17355280.4581162,56724015.4265899,1848769.30526785,-20040.5776002017,2816591.49264034,-421486.071267226,188871.320687952,-172507.552683809,-7011.18703410285,,,0,,,,,,,,
"Unlabeled: No competition; multiple offers; Overrode blank Fair Opportunity)","Unlabeled",,,0,,0,0,0,,,0,,,,,,,,,0,0,0,,,,,
