"Column Name","Label"
"CEXBLD_S","Relative standard error for estimate of capital expenditures for buildings and other structures (%)"
"CEXMCH","Capital expenditures for machinery and equipment ($1,000)"
"CEXMCH_S","Relative standard error for estimate of capital expenditures for machinery and equipment (%)"
"CEXMCHA","Capital expenditures for automobiles, trucks, etc. for highway use ($1,000)"
"CEXMCHA_S","Relative standard error for estimate of capital expenditures for automobiles, trucks, etc. for highway use (%)"
"CEXMCHC","Capital expenditures for computers and peripheral data processing equipment ($1,000)"
"CEXMCHC_S","Relative standard error for estimate of capital expenditures for computers and peripheral data processing equipment (%) "
"CEXMCHO","Capital expenditures for all other machinery and equipment ($1,000)"
"CEXMCHO_S","Relative standard error for estimate of capital expenditures for all other machinery and equipment (%)"
"RPTOT","Total rental payments or lease payments ($1,000)"
"RPTOT_S","Relative standard error for estimate of total rental payments or lease payments (%)"
"RPBLD","Rental payments or lease payments for buildings and other structures ($1,000)"
"RPBLD_S","Relative standard error for estimate of rental payments or lease payments for buildings and other structures (%)"
"RPMCH","Rental payments or lease payments for machinery and equipment ($1,000)"
"RPMCH_S","Relative standard error for estimate of rental payments or lease payments for machinery and equipment (%)"
"PCHTT","Total other operating expenses ($1,000)"
"PCHTT_S","Relative standard error for estimate of total other operating expenses (%)"
"PCHTEMP","Temporary staff and leased employee expenses ($1,000)"
"PCHTEMP_S","Relative standard error for estimate of temporary staff and leased employee expenses (%)"
"PCHCMPQ","Expensed computer hardware and other equipment ($1,000)"
"PCHCMPQ_S","Relative standard error for estimate of expensed computer hardware and other equipment (%)"
"PCHEXSO","Expensed purchases of software ($1,000)"
"PCHEXSO_S","Relative standard error for estimate of expensed purchases of software (%)"
"PCHDAPR","Data processing and other purchased computer services ($1,000)"
"PCHDAPR_S","Relative standard error for estimate of data processing and other purchased computer services (%)"
"PCHCSVC","Communication services ($1,000)"
"PCHCSVC_S","Relative standard error for estimate of communication services (%)"
"PCHRPR","Repair and maintenance services of buildings and/or machinery ($1,000)"
"PCHRPR_S","Relative standard error for estimate of repair and maintenance services of buildings and/or machinery (%)"
"PCHRFUS","Refuse removal (including hazardous waste) services ($1,000)"
"PCHRFUS_S","Relative standard error for estimate of refuse removal (including hazardous waste) services (%)"
"PCHADVT","Advertising and promotional services ($1,000)"
"PCHADVT_S","Relative standard error for estimate of advertising and promotional services (%)"
"PCHPRTE","Purchased professional and technical services ($1,000)"
"PCHPRTE_S","Relative standard error for estimate of purchased professional and technical services (%)"
"PCHTAX","Taxes and license fees ($1,000)"
"PCHTAX_S","Relative standard error for estimate of taxes and license fees (%)"
"PCHOEXP","All other operating expenses ($1,000)"
"PCHOEXP_S","Relative standard error for estimate of all other operating expenses (%)"
"RCPTOT_IMP","Range indicating percent of total sales, value of shipments, or revenue imputed"
"PAYANN_IMP","Range indicating percent of total annual payroll imputed"
"EMP_IMP","Range indicating percent of total employees imputed"
